Dist Code,hist_median,hist_q25,hist_q75
1,503.43,437.7325,624.595
2,431.67499999999995,360.965,563.0775000000001
3,510.71500000000003,442.305,602.7725
4,514.855,450.4475,568.8299999999999
5,528.03,441.69,620.9225
6,411.07500000000005,346.8375,493.3
7,626.545,519.7675,849.8425
8,607.02,427.81,762.3175
9,750.385,458.6625,984.9675
10,762.675,639.7774999999999,990.645
11,498.70500000000004,423.0475,628.4
12,576.895,468.06,624.6375
13,598.97,502.6625,747.0125
14,569.97,418.215,684.6624999999999
15,936.1400000000001,704.1525,1246.5525
16,855.9200000000001,684.1524999999999,982.5375
17,615.27,524.9125,676.6775
18,716.795,600.075,879.5475
19,476.25,436.825,539.865
20,527.46,455.78249999999997,632.7525
21,438.26,363.46750000000003,467.515
22,736.77,620.5775,963.2425000000001
23,736.5550000000001,599.87,952.64
24,629.145,513.845,766.365
25,728.475,590.4425,1129.22
26,1046.475,847.385,1250.605
27,974.5,764.7775,1092.4650000000001
28,682.325,564.4,842.01
29,566.3199999999999,485.435,681.4425
30,636.265,543.885,807.4975
31,730.8299999999999,630.9375,828.76
32,762.425,618.935,1006.68
33,568.135,421.40250000000003,676.625
34,554.87,492.3925,622.8924999999999
35,536.97,482.26,591.1825
36,654.62,596.49,786.635
37,713.525,614.7325,963.2675
38,839.76,675.9375,967.765
39,714.1949999999999,615.0550000000001,848.335
40,397.855,339.015,482.295
41,712.155,635.3575000000001,879.2975
42,698.865,617.2875,882.8375000000001
43,678.5699999999999,523.225,1032.82
44,730.3,500.0,1200.0
45,690.48,500.0,1397.725
46,900.0,365.765,1000.0
47,500.0,500.0,1000.0
48,500.0,333.33,678.5749999999999
49,578.135,483.2725,1162.5625
50,666.67,500.0,1433.905
51,480.53499999999997,393.62,891.605
52,430.555,325.0075,600.4425
53,500.0,400.0,733.96
54,1000.0,1000.0,1000.0
55,401.755,250.0,525.0
56,335.34000000000003,238.03,587.3625
57,272.975,205.375,513.89
58,357.41999999999996,275.06,527.7475
59,266.67,220.2375,356.25
60,317.07,250.0,400.0
61,318.84000000000003,250.0,500.0
62,409.09,276.145,628.5600000000001
63,333.33,235.505,516.97
64,400.0,333.33,500.0
65,428.57,333.33,500.0
66,443.55,333.33,500.0
67,419.875,335.54249999999996,486.7925
68,500.0,333.33,500.0
69,444.44,392.025,500.0
70,400.0,333.33,500.0
71,440.355,384.62,493.505
72,404.495,315.37,438.98749999999995
73,457.575,399.515,500.0
74,370.28,265.06,419.40999999999997
75,383.7,345.85,462.2275
76,343.32500000000005,290.86249999999995,456.37
77,517.815,436.605,584.2975
78,419.33500000000004,349.4625,470.395
79,433.72,384.36,533.2025
80,1000.0,1000.0,1000.0
81,500.0,500.0,500.0
82,1000.0,625.0,1000.0
83,600.0,400.0,700.0
84,500.0,383.3325,1000.0
85,400.0,333.33,1000.0
86,415.84000000000003,328.78499999999997,571.43
87,727.27,591.4749999999999,740.78
88,609.37,500.0,749.4875
89,800.0,687.5024999999999,1000.0
90,524.28,512.91,568.2675
91,500.0,483.33500000000004,500.0
92,500.0,500.0,645.835
93,1000.0,1000.0,1000.0
96,426.405,326.91999999999996,588.8125
97,424.54499999999996,285.71,588.9075
98,1000.0,1000.0,1000.0
99,449.69500000000005,388.54,538.4175
100,496.43,408.985,620.335
101,584.065,493.54,733.5074999999999
102,485.0,362.485,560.2774999999999
103,469.46,365.1375,606.7675
104,469.73,389.355,598.5275
105,459.225,366.0125,635.9475
106,352.57,299.51,534.0825
107,570.435,469.345,700.5725
108,416.685,315.5575,549.29
109,352.75,287.26750000000004,505.46500000000003
110,384.78499999999997,307.995,493.5425
111,306.25,250.0,456.36
112,408.39,298.9375,491.565
113,394.725,278.6175,546.58
114,369.99,261.3125,550.36
115,422.505,293.65250000000003,634.3675
116,439.55,322.59250000000003,527.9925
117,359.605,227.0575,535.1575
118,399.665,277.7825,527.345
119,407.125,286.905,449.3725
120,363.21,292.48,443.40250000000003
121,500.0,417.12,576.87
122,588.24,473.68,750.0
123,600.0,500.0,714.29
124,510.87,400.0,625.0
125,615.38,528.01,716.91
126,620.19,500.0,782.325
127,600.0,531.5775000000001,701.47
128,600.0,500.0,1000.0
129,666.67,555.56,825.17
130,668.55,504.7475,916.1624999999999
131,587.225,542.6500000000001,675.0225
132,500.0,500.0,666.67
133,561.3800000000001,425.0,640.6099999999999
134,775.0899999999999,628.645,859.6725
135,602.865,359.9975,849.0375
136,618.035,481.92999999999995,781.865
137,714.29,604.165,806.76
138,500.0,410.525,623.8199999999999
139,468.405,382.46000000000004,587.76
140,891.54,701.0600000000001,1010.675
141,717.145,565.655,1008.8924999999999
142,560.365,428.57,703.4425
143,1028.465,835.635,1174.625
144,627.9749999999999,466.07500000000005,810.19
145,637.1,567.355,749.9
146,753.49,639.8625,843.9875
147,580.5150000000001,457.79,775.7825
148,268.06,162.70499999999998,371.885
149,800.4300000000001,612.36,949.4875
150,589.77,454.595,692.2
151,764.46,630.085,879.1999999999999
152,647.06,543.48,756.88
153,605.825,500.0,700.975
154,591.3,450.73,734.0325
155,532.615,315.1125,787.86
156,626.88,455.1475,740.855
157,672.3900000000001,556.7425000000001,834.0550000000001
158,538.74,412.69,716.52
159,559.77,454.3375,709.8775
160,845.425,708.7825,1007.345
161,792.36,581.29,994.7550000000001
162,618.735,490.8525,698.16
163,599.49,453.805,716.2425000000001
164,687.885,592.1925,847.34
165,1000.0,645.835,1000.0
166,1000.0,781.25,1020.8325
167,1000.0,1000.0,1428.57
168,1000.0,988.6375,1000.0
169,719.52,500.0,800.0
170,780.1949999999999,600.0,937.5
171,1000.0,911.7625,1000.0
172,893.855,751.195,960.0225
174,750.86,646.1625,881.4000000000001
175,852.085,750.0,1019.48
176,910.5,666.67,1000.0
177,709.97,564.7625,846.975
180,745.37,573.6725,996.4449999999999
181,727.27,620.55,972.9
182,696.76,406.0,813.3100000000001
183,752.78,589.97,985.2925
184,909.675,666.67,1012.6675
186,844.3299999999999,658.45,967.9925000000001
189,823.9849999999999,527.9475,959.8225
190,881.9449999999999,752.265,1000.0
191,979.785,861.5375,1196.7425
192,959.21,861.6424999999999,1281.0925
194,1026.0549999999998,899.9575,1201.2825
195,999.3299999999999,899.8199999999999,1140.2324999999998
196,1012.605,875.0325,1159.1125
197,1045.555,943.635,1205.3700000000001
198,1125.96,953.2875,1273.2575
199,713.4200000000001,558.3375,888.465
200,857.14,655.755,917.325
201,692.065,572.0225,861.885
202,789.19,618.98,909.4300000000001
203,641.3,493.75,810.0
204,762.9300000000001,610.745,870.5899999999999
205,639.69,519.31,875.7625
206,990.11,690.9749999999999,1143.7824999999998
207,1120.665,905.14,1246.7425
208,1125.1999999999998,944.1125,1224.73
209,965.65,818.0775,1060.895
210,870.395,784.9925000000001,975.355
211,759.58,617.7075,851.8
213,791.915,668.3325,897.9325
214,652.295,587.645,743.375
215,692.23,563.5274999999999,762.0225
216,875.9300000000001,695.9325,1072.3174999999999
217,827.035,752.4075,925.0699999999999
218,960.79,787.305,1071.6475
219,937.7850000000001,779.5175,1066.035
220,978.215,858.8375,1244.25
221,758.095,650.96,833.7725
222,809.0899999999999,714.3774999999999,898.0975
223,746.175,582.615,856.8075
224,894.1800000000001,745.4575,1053.9275
225,888.9100000000001,742.095,949.585
226,828.005,710.4825,928.89
227,862.005,644.1275,1016.875
228,789.7850000000001,631.6,923.1075
229,827.12,694.1875,966.2625
230,732.2049999999999,589.5325,902.9075
231,775.105,668.0749999999999,896.07
232,658.21,547.0225,793.2874999999999
233,653.595,505.21250000000003,784.6324999999999
234,782.45,694.7325000000001,975.6675
235,859.905,640.465,971.695
236,859.745,700.6875,913.3275
237,701.61,588.8199999999999,869.605
238,888.89,750.0,1000.0
239,900.0,800.0,1000.0
240,600.0,550.0,650.0
241,1000.0,1000.0,1000.0
242,1000.0,1000.0,1000.0
243,857.14,589.97,1000.0
244,800.0,720.78,935.415
601,444.44,400.0,500.0
602,521.435,497.8825,653.4124999999999
603,500.0,428.57,500.0
604,520.105,491.11749999999995,562.765
605,460.435,379.90000000000003,500.0
606,481.48,406.6225,510.2
607,400.0,400.0,500.0
608,500.0,333.33,500.0
609,418.975,371.25,441.995
610,500.0,428.57,500.0
626,519.69,269.23,735.29
627,557.69,528.845,586.535
629,583.99,430.66,793.1
631,250.0,250.0,500.0
633,503.845,261.56,838.38
634,563.05,404.0575,750.0
635,666.67,333.33,1000.0
636,665.02,461.54,731.34
701,575.0,500.0,646.9000000000001
702,469.28999999999996,412.65250000000003,501.28999999999996
703,555.36,507.98,623.5550000000001
704,491.385,427.375,608.765
705,638.89,578.345,700.0
706,577.19,499.20500000000004,749.8275
707,628.79,500.0,869.88
708,557.66,423.315,693.9475
709,628.0350000000001,561.275,711.7825
