Dist Code,Year,yield_kg_ha
1,1966,500.0
1,1967,288.46
1,1968,448.34
1,1969,439.16
1,1970,611.63
1,1971,652.09
1,1972,623.33
1,1973,574.47
1,1974,746.81
1,1975,518.01
1,1976,255.24
1,1977,314.39
1,1978,326.3
1,1979,240.43
1,1980,332.1
1,1981,379.31
1,1982,389.12
1,1983,364.84
1,1984,483.09
1,1985,433.45
1,1986,561.22
1,1987,459.03
1,1988,481.42
1,1989,505.85
1,1990,511.89
1,1991,645.9
1,1992,563.06
1,1993,628.39
1,1994,653.57
1,1995,494.35
1,1996,663.55
1,1997,439.64
1,1998,591.05
1,1999,669.94
1,2000,506.84
1,2001,735.92
1,2002,637.98
1,2003,981.46
1,2004,501.01
1,2005,501.01
1,2006,723.74
1,2007,909.8
1,2008,856.71
1,2009,883.44
1,2010,948.89
1,2011,1008.49
1,2012,1130.97
1,2013,756.19
1,2014,1056.09
1,2015,754.73
2,1966,263.16
2,1967,500.0
2,1968,400.0
2,1969,375.0
2,1970,363.64
2,1971,434.78
2,1972,350.0
2,1973,428.57
2,1974,312.5
2,1975,380.95
2,1976,285.71
2,1977,350.0
2,1978,352.94
2,1979,285.71
2,1980,333.33
2,1981,400.0
2,1982,434.78
2,1983,409.09
2,1984,416.67
2,1985,434.78
2,1986,333.33
2,1987,333.33
2,1988,407.41
2,1989,416.67
2,1990,473.68
2,1991,588.24
2,1992,470.59
2,1993,550.0
2,1994,631.58
2,1995,550.0
2,1996,600.0
2,1997,642.86
2,1998,548.39
2,1999,590.91
2,2000,554.69
2,2001,788.73
2,2002,654.55
2,2003,917.81
2,2004,683.45
2,2005,683.45
2,2006,727.89
2,2007,928.1
2,2008,739.73
2,2009,1079.47
2,2010,1133.33
2,2011,936.31
2,2012,1305.73
2,2013,812.87
2,2014,1278.79
2,2015,880.79
3,1966,250.0
3,1967,400.0
3,1968,363.64
3,1969,418.6
3,1970,462.96
3,1971,538.46
3,1972,534.88
3,1973,487.8
3,1974,451.61
3,1975,487.8
3,1976,264.71
3,1977,487.8
3,1978,432.43
3,1979,326.09
3,1980,435.9
