Dist Code,hist_median,hist_q25,hist_q75
1,512.2,506.1,613.245
2,166.67,154.765,194.445
3,583.335,541.6675,625.0024999999999
5,500.0,500.0,666.67
6,100.0,83.33,111.11
9,195.07,91.69,265.145
11,200.0,200.0,200.0
28,100.0,62.5,200.0
29,88.725,70.6975,122.465
30,75.85,65.7425,90.91
31,88.11,69.30000000000001,107.625
32,117.53999999999999,96.335,145.54
33,114.345,92.27250000000001,157.3375
34,83.65,69.1425,105.2425
35,107.445,82.455,147.1225
36,73.505,59.29,88.07
37,60.0,50.260000000000005,76.92
40,79.8,45.45,102.27250000000001
41,73.33500000000001,50.085,92.75
42,67.985,55.1725,91.88
43,102.605,65.5475,129.66750000000002
44,340.0,289.5,420.555
45,333.565,282.9,460.08
46,320.79,211.11,425.78
47,349.4,320.2,476.0
48,318.45,225.7225,399.035
49,377.41499999999996,256.7275,482.695
50,302.01,206.155,405.32500000000005
51,159.06,80.2325,203.625
52,145.095,65.3875,199.005
53,138.955,83.33,185.9225
55,222.39499999999998,168.365,264.21500000000003
56,114.29,80.125,187.785
57,200.0,173.8975,248.595
58,207.03,135.73,257.64
59,166.67,143.83499999999998,202.0625
60,215.255,109.64750000000001,334.4225
61,288.54499999999996,194.7475,379.13750000000005
62,240.67,121.5275,377.1775
63,109.36,84.8875,159.07
65,333.33,333.33,400.0
66,236.695,166.67,288.1825
67,202.47,103.45,268.04
68,291.66499999999996,229.165,594.6975
69,203.39,168.0,290.98
70,213.685,144.05,298.90500000000003
71,201.31,150.9625,243.1325
72,169.925,98.99000000000001,274.2925
73,176.8,115.735,226.455
74,106.41499999999999,78.5975,165.87
75,165.075,93.565,265.5725
76,101.03999999999999,46.0775,245.925
77,132.06,98.985,174.41250000000002
78,149.94,122.745,175.1975
79,100.965,68.6325,323.27750000000003
81,238.745,212.45499999999998,355.1525
82,333.33,166.67,416.66499999999996
83,363.64,333.33,500.0
84,333.33,260.265,375.03999999999996
85,395.97,272.825,500.0
86,295.945,256.5425,330.7325
87,355.245,306.5175,397.46500000000003
88,285.71,204.0075,310.0675
89,358.055,333.33,435.065
90,270.385,224.8825,310.68
91,174.48000000000002,132.0,214.8675
92,155.98,112.355,254.085
93,1000.0,1000.0,1000.0
99,202.565,131.58,248.94
100,124.505,98.405,153.20999999999998
101,116.345,98.5625,203.825
102,235.285,171.855,273.815
103,307.69,273.97,428.57
104,283.55499999999995,221.6825,324.405
105,229.67000000000002,172.62,291.425
106,255.63,194.2675,285.1925
107,183.33499999999998,111.11,200.0
108,121.05000000000001,79.4025,147.725
109,98.85499999999999,71.0775,135.58749999999998
110,124.78999999999999,96.35,146.795
111,92.745,62.055,113.905
112,118.46,74.22,139.28
113,84.665,68.62,125.0975
114,82.32,64.235,124.9325
115,87.06,75.50999999999999,123.8375
116,96.61,77.6375,119.83
117,104.89,73.8475,186.8175
118,108.5,81.1325,163.3125
120,102.38,81.075,131.9675
121,152.76,130.07,200.99
122,260.87,198.82,330.73
123,217.905,181.76,304.86249999999995
124,165.17,140.745,211.32999999999998
125,204.0,151.54500000000002,281.72
126,221.56,180.05,353.16499999999996
127,230.16,197.96,305.0575
129,298.61,200.70499999999998,375.155
130,316.87,237.925,379.81
131,219.55,186.97,288.28499999999997
132,221.23,182.62,277.105
133,239.26,206.62,278.08
134,189.87,157.785,242.565
135,279.97,190.555,331.48
136,221.15,177.945,316.02
137,257.14,189.04,393.8
138,149.15,124.495,176.72
139,175.19,131.4925,212.9925
140,297.62,232.09,336.54
141,105.28999999999999,82.4325,218.0575
142,333.33,285.71,356.0625
143,256.15,250.0,333.33
144,164.995,133.33,191.375
145,241.38,195.2,317.01
146,400.0,333.33,500.0
147,141.89999999999998,117.795,222.515
148,295.08,227.27,357.14
149,272.73,225.0,333.33
150,284.525,228.17,325.635
151,321.43,250.0,381.29
152,279.22,234.3475,327.01
153,233.03,179.76749999999998,313.3225
154,69.57,40.0,106.67
155,282.39,241.075,345.3325
156,260.71000000000004,202.6325,341.81
157,500.0,500.0,500.0
158,263.16,209.39,341.4
159,214.93,169.1675,271.8375
160,363.64,300.0,375.0
161,300.0,245.0,344.29499999999996
162,244.265,199.18,310.97249999999997
163,275.86,183.33499999999998,303.975
164,126.98,100.0,191.31
165,175.735,154.6875,200.0
166,262.07,196.66500000000002,337.855
167,200.0,172.6225,232.92249999999999
168,243.24,180.0,280.0
169,166.67,116.02000000000001,296.4275
170,200.0,157.95499999999998,246.3225
171,296.0,213.185,336.14
172,421.475,371.2225,500.45750000000004
174,397.91499999999996,338.72,475.34250000000003
175,305.52,278.43,345.28499999999997
176,286.36,211.07,316.44
177,365.21000000000004,333.8675,416.90749999999997
180,210.53,200.0,300.0
181,262.005,221.085,307.3825
182,306.67,259.115,367.55
183,200.0,153.85,238.1
184,222.56,205.9275,251.1375
186,222.65,208.20499999999998,251.1675
189,140.875,120.5175,162.91
190,193.305,165.5425,240.0
191,144.0,125.0,193.0325
192,128.94,115.91749999999999,178.6325
194,149.52499999999998,121.53750000000001,196.09
195,121.44,90.6825,146.685
196,142.86,124.09,172.235
198,142.86,125.0,200.0
201,166.67,166.67,250.0
205,200.0,142.86,250.0
207,76.92,76.92,76.92
208,166.67,142.86,200.0
220,333.33,333.33,333.33
601,62.5,50.0,83.33
602,66.67,58.82,80.0
604,68.18,50.0,71.43
605,76.92,64.52,90.91
606,79.65,73.935,84.5475
607,74.17500000000001,63.542500000000004,82.4975
608,83.33,79.23,86.0225
609,83.33,79.23,100.0
610,111.11,93.1825,111.11
626,456.875,221.875,541.875
629,295.26,204.77,414.28499999999997
633,360.0,154.17,500.0
634,85.0,85.0,85.0
635,354.78,349.44,357.0
636,500.0,467.5,680.0
656,252.0,252.0,252.0
658,272.11,218.06,274.23
660,288.0,288.0,288.0
701,225.0,172.165,510.0
702,173.16,151.115,251.195
703,200.0,176.47,250.0
704,166.67,143.60250000000002,237.5
705,175.445,148.8125,206.72
706,186.12,170.0,284.3725
707,183.33499999999998,132.2125,308.125
708,278.79,196.32,368.525
709,153.85,142.86,200.0
710,173.91,166.67,187.5
711,176.47,142.86,236.11
712,176.47,166.67,186.07999999999998
713,168.33499999999998,142.86,187.5
800,346.15,307.69,428.57
803,1062.5,1062.5,1062.5
818,333.33,333.33,333.33
901,500.0,500.0,500.0
902,250.0,196.43,375.0
903,1000.0,1000.0,1000.0
905,291.66499999999996,232.95499999999998,340.90749999999997
906,236.11,205.555,270.835
907,666.67,666.67,666.67
909,333.33,333.33,333.33
912,333.33,266.66499999999996,416.66499999999996
915,500.0,500.0,500.0
916,333.33,333.33,333.33
