Dist Code,Year,yield_kg_ha
1,2002,500.0
1,2003,714.29
1,2004,512.2
1,2006,263.16
1,2007,250.0
1,2008,1000.0
1,2011,250.0
1,2012,153.85
1,2013,200.0
1,2014,400.0
1,2015,200.0
2,2000,166.67
2,2001,222.22
2,2002,142.86
3,2003,500.0
3,2004,666.67
3,2006,400.0
5,1966,500.0
5,1967,428.57
5,1968,571.43
5,1969,500.0
5,1970,250.0
5,1971,666.67
5,1972,666.67
5,1973,333.33
5,1974,1000.0
5,1975,500.0
5,1976,500.0
5,1977,500.0
5,1978,1000.0
5,1982,1000.0
6,1966,50.0
6,1967,100.0
6,1968,71.43
6,1969,83.33
6,1970,90.91
6,1971,100.0
6,1972,111.11
6,1973,125.0
6,1974,142.86
6,2008,1000.0
9,1966,50.0
9,1967,85.71
9,1968,108.43
9,1969,94.12
9,1970,45.45
9,1971,81.4
9,1972,103.45
9,1973,67.42
9,1974,108.7
9,1975,58.14
9,1976,57.47
9,1977,91.95
9,1978,52.08
9,1979,90.91
9,1980,70.59
9,1981,147.73
9,1982,273.58
9,1983,137.61
9,1984,228.26
9,1985,231.71
9,1986,238.1
9,1987,250.0
9,1988,150.68
9,1989,184.62
9,1990,406.76
9,1991,205.52
9,1992,255.28
9,1993,498.46
9,1994,418.75
9,1995,617.65
9,1996,267.59
9,1997,181.51
9,1998,264.33
9,1999,268.53
9,2000,252.82
9,2001,261.54
9,2002,239.8
9,2003,413.44
9,2004,380.11
9,2005,436.15
9,2006,505.14
9,2007,527.97
9,2008,569.4
9,2009,974.18
9,2010,1595.94
9,2011,1153.65
9,2012,195.44
9,2013,201.82
9,2014,120.0
9,2015,40.91
11,1996,200.0
21,2011,423.53
23,2008,300.0
23,2009,200.0
23,2010,231.43
23,2011,403.75
23,2012,272.73
24,2011,202.5
24,2014,108.0
26,2010,154.29
26,2011,229.22
26,2012,225.81
26,2013,240.0
26,2014,108.0
28,1966,64.29
28,1967,53.85
28,1968,86.96
28,1969,75.0
28,1970,45.45
28,1971,62.5
28,1972,107.69
28,1973,151.52
28,1974,121.21
28,1975,40.0
28,1976,43.48
28,1977,68.97
28,1978,50.0
28,1979,55.56
28,1980,200.0
28,1981,500.0
28,1982,200.0
28,1983,333.33
28,1990,90.91
28,1991,100.0
28,1992,200.0
28,1993,200.0
28,1997,200.0
28,1998,200.0
28,2005,111.11
28,2006,200.0
28,2013,250.0
28,2014,108.0
29,1966,65.22
29,1967,65.22
29,1968,52.63
29,1969,63.9
29,1970,70.84
29,1971,47.93
29,1972,70.27
29,1973,29.22
29,1974,101.01
29,1975,64.14
29,1976,86.26
29,1977,76.5
29,1978,81.3
29,1979,77.15
29,1980,82.57
29,1981,100.89
29,1982,100.63
29,1983,70.23
29,1984,92.44
29,1985,86.54
29,1986,90.91
29,1987,58.82
29,1988,72.54
29,1989,116.73
29,1990,108.64
29,1991,77.78
29,1992,191.18
29,1993,189.07
29,1994,105.81
29,1995,158.69
29,1996,111.21
29,1997,190.82
29,1998,174.57
29,1999,139.67
29,2000,83.72
29,2001,173.16
29,2002,112.4
29,2003,251.18
29,2004,219.61
29,2005,293.31
29,2006,253.41
29,2007,277.47
29,2008,333.21
29,2009,232.74
29,2010,321.26
29,2011,514.6
29,2012,479.25
29,2013,355.47
29,2014,212.73
29,2015,101.74
30,1966,64.94
30,1967,90.91
30,1968,66.01
30,1969,57.2
30,1970,70.74
30,1971,69.95
30,1972,68.36
30,1973,32.93
30,1974,78.51
30,1975,63.04
30,1976,77.78
30,1977,39.79
30,1978,76.7
30,1979,71.43
30,1980,80.39
30,1981,93.46
30,1982,95.39
30,1983,66.67
30,1984,77.67
30,1985,61.73
30,1986,75.0
30,1987,50.0
30,1988,55.56
30,1989,90.91
30,1990,88.37
30,1991,68.97
30,1992,111.11
30,1993,83.33
30,1995,100.0
30,1996,200.0
