Dist Code,Year,yield_kg_ha
1,1966,500.0
1,1967,1000.0
1,1968,1000.0
1,1969,1000.0
1,1970,1000.0
1,1978,1000.0
1,1979,2000.0
1,1980,2000.0
1,1981,1000.0
1,1982,1000.0
1,1983,1000.0
1,1984,1000.0
1,1985,1000.0
1,1986,1000.0
1,1987,1000.0
1,1988,1000.0
1,1989,848.48
1,1990,852.94
1,1991,1038.46
1,1992,1437.5
1,1993,1040.0
1,1994,1000.0
1,1995,1111.11
1,1996,1000.0
1,1997,1000.0
1,1998,1000.0
1,1999,1000.0
1,2000,894.94
1,2001,1423.7
1,2002,1338.07
1,2003,1384.66
1,2004,1526.54
1,2005,1526.54
1,2006,1465.31
1,2007,1551.07
1,2008,1567.28
1,2009,1814.16
1,2010,1861.6
1,2011,1561.11
1,2012,1502.72
1,2013,1817.44
1,2014,1627.06
1,2015,1687.82
2,1988,1000.0
2,1993,1000.0
2,1994,1000.0
2,1995,1000.0
2,1996,1000.0
2,1997,1000.0
2,1998,1000.0
2,2000,875.0
2,2001,1200.0
2,2002,1666.67
2,2003,666.67
2,2004,1333.33
2,2005,1333.33
2,2006,800.0
2,2007,1500.0
2,2008,1400.0
2,2009,1500.0
2,2011,1000.0
2,2012,1500.0
2,2013,1666.67
2,2014,1333.33
2,2015,1500.0
3,1966,454.55
3,1967,859.65
3,1968,521.74
3,1969,657.14
3,1970,772.28
3,1971,614.58
3,1972,771.08
3,1973,692.31
3,1974,658.23
3,1975,839.51
3,1976,413.33
3,1977,710.14
3,1978,771.43
3,1979,1527.27
3,1980,1607.84
3,1981,1538.46
3,1982,733.33
3,1983,1033.9
3,1984,750.0
3,1985,813.56
3,1986,666.67
3,1987,1000.0
3,1988,882.35
3,1989,803.03
3,1990,837.21
3,1991,872.34
3,1992,1197.92
3,1993,969.07
3,1994,814.81
3,1995,948.72
3,1996,864.2
3,1997,825.58
3,1998,855.26
3,1999,1025.32
3,2000,1005.88
3,2001,1160.8
3,2002,966.55
3,2003,1045.13
3,2004,1099.16
3,2005,1099.16
3,2006,968.6
3,2007,1176.8
3,2008,1173.08
3,2009,1323.12
3,2010,1533.87
3,2011,1312.7
3,2012,1464.83
3,2013,1465.62
3,2014,1315.29
3,2015,1222.38
4,1966,500.0
4,1967,500.0
4,1968,444.44
4,1969,674.42
4,1970,763.16
4,1971,675.68
4,1972,742.86
4,1973,606.06
4,1974,771.43
4,1975,617.65
4,1976,714.29
4,1977,600.0
4,1978,583.33
4,1979,472.22
4,1980,771.43
4,1981,628.57
4,1982,548.39
4,1983,800.0
4,1984,688.89
4,1985,804.88
4,1986,769.23
4,1987,1000.0
4,1988,1000.0
4,1989,857.14
4,1990,836.73
4,1991,765.96
4,1992,1000.0
4,1993,1093.02
4,1994,777.78
4,1995,980.39
4,1996,956.52
4,1997,914.89
4,1998,1064.99
4,1999,944.69
4,2000,911.5
4,2001,1220.27
4,2002,1019.17
4,2003,1102.33
4,2004,1197.78
4,2005,1197.78
4,2006,1142.98
4,2007,1278.92
4,2008,1271.81
4,2009,1556.88
4,2010,1757.26
4,2011,1415.05
4,2012,1356.29
4,2013,1388.65
4,2014,1404.76
4,2015,1370.52
5,1966,545.45
5,1967,1000.0
5,1968,458.02
5,1969,595.42
5,1970,752.0
5,1971,600.0
5,1972,732.28
5,1973,550.39
5,1974,674.42
5,1975,782.95
5,1976,406.25
5,1977,606.3
5,1978,655.74
5,1979,465.52
5,1980,646.02
5,1981,734.51
5,1982,548.08
5,1983,631.07
5,1984,586.21
5,1985,805.08
5,1986,800.0
5,1987,1000.0
5,1988,1027.03
5,1989,893.44
5,1990,881.99
5,1991,967.74
5,1992,1342.11
5,1993,985.71
5,1994,893.81
5,1995,1053.57
5,1996,955.75
5,1997,927.27
5,1998,1040.0
5,1999,989.8
5,2000,840.91
5,2001,1261.06
5,2002,1100.17
5,2003,1106.73
5,2004,1104.22
5,2005,1104.22
5,2006,1090.6
5,2007,1324.71
5,2008,1318.38
5,2009,1771.87
5,2010,1578.31
5,2011,1335.44
5,2012,1377.91
5,2013,1550.48
5,2014,1449.16
5,2015,1335.45
6,1966,500.0
6,1967,666.67
6,1968,370.37
6,1969,666.67
6,1970,687.5
6,1971,583.33
6,1972,717.95
6,1973,476.19
6,1974,583.33
6,1975,750.0
6,1976,521.74
6,1977,613.64
6,1978,634.15
6,1979,1250.0
6,1980,1333.33
6,1981,1300.0
6,1982,600.0
6,1983,828.57
6,1984,520.0
6,1985,553.19
6,1986,600.0
6,1987,800.0
6,1988,920.0
6,1989,821.43
6,1990,807.69
6,1991,909.09
6,1992,1080.65
6,1993,1076.92
6,1994,827.59
6,1995,1016.67
6,1996,969.23
6,1997,985.29
6,1998,1042.86
6,1999,1026.67
6,2000,1016.29
6,2001,1258.43
6,2002,1298.85
6,2003,1150.68
6,2004,1074.97
6,2005,1074.97
6,2006,1123.53
6,2007,1221.56
6,2008,1215.52
6,2009,1200.5
6,2010,1049.38
6,2011,1253.18
6,2012,1302.45
6,2013,1302.92
6,2014,1393.08
6,2015,1203.95
7,1966,1000.0
7,1967,1000.0
7,1968,666.67
7,1969,666.67
7,1970,750.0
7,1971,714.29
7,1972,1000.0
7,1973,750.0
7,1974,666.67
7,1975,1000.0
7,1976,666.67
7,1977,500.0
7,1978,1000.0
7,1979,2000.0
7,1980,2000.0
7,1981,1000.0
7,1982,1000.0
7,1983,1000.0
7,1998,1000.0
7,1999,1000.0
7,2000,1000.0
7,2001,1000.0
7,2002,1000.0
7,2003,1000.0
7,2004,1500.0
7,2005,1272.73
7,2006,1000.0
7,2007,1000.0
7,2008,1000.0
7,2009,1000.0
7,2011,1000.0
7,2012,2055.56
7,2013,1631.58
8,1985,1000.0
