Dist Code,hist_median,hist_q25,hist_q75
1,1000.0,852.6675,1186.04
2,1404.255,1206.635,1536.25
3,1000.0,885.4175,1143.435
4,1102.2849999999999,998.565,1302.9
5,1238.095,1065.6825000000001,1466.3899999999999
6,1135.4450000000002,878.8774999999999,1306.12
7,1000.0,870.955,1257.4625
8,1238.635,1063.69,1548.915
9,1670.865,849.4,2108.9300000000003
10,1450.0,1250.0,1785.9850000000001
11,978.965,817.605,1240.1075
12,1394.135,1129.9950000000001,1561.3625
13,1193.0900000000001,1041.1325,1392.68
14,1274.435,1051.9725,1558.3325
15,891.3050000000001,732.065,1040.12
16,833.33,702.385,1000.0
17,916.67,737.04,1000.0
18,800.0,642.86,1000.0
19,1144.4,906.3525,1268.8274999999999
20,977.275,777.78,1100.0
21,845.5699999999999,688.6525,1048.635
22,1500.0,1000.0,2000.0
23,1050.67,833.4825,1385.64
24,928.22,737.5,1208.81
25,1000.0,735.3925,1200.0
26,970.5899999999999,750.0,1050.7975000000001
27,1000.0,1000.0,1173.0774999999999
28,958.935,742.1525,1150.6775
29,1042.13,875.8375,1537.1625
30,1031.81,903.27,1225.2024999999999
31,1372.94,1004.8225,1636.4325
32,922.6600000000001,747.115,1113.095
33,1076.205,885.91,1409.8525
34,926.385,683.48,1272.2925
35,999.49,735.465,1442.36
36,1611.325,1160.7175,1806.175
37,1044.9450000000002,837.84,1326.045
38,1234.6,944.44,1672.7675
39,1262.9299999999998,1133.52,1541.3025
40,1057.5900000000001,888.6375,1448.2125
41,860.06,635.3975,1140.4925
42,1286.45,1069.6825,1629.2224999999999
43,1381.9450000000002,1171.825,1500.0
44,1500.0,1270.8325,3000.0
45,1586.815,1269.395,2104.445
46,2435.185,1528.845,3838.7475
47,2241.665,1482.1425,3953.705
48,1791.665,1250.0,3422.9575
49,1891.825,1274.1625,3367.175
50,2018.69,1914.7875,3589.2875
51,2000.0,1500.0,2827.055
52,1904.545,1404.76,3000.0
53,2000.0,1000.0,2634.615
54,2000.0,1500.0,3000.0
55,1375.885,924.95,2197.85
56,2128.3,1730.2075,3058.9825
57,1224.695,852.605,2005.49
58,2000.0,1374.9975,2659.685
59,1855.19,1186.08,2592.4474999999998
60,1835.25,1378.2225,2476.28
61,1580.2649999999999,1080.6225,2940.0
62,2360.55,1574.1075,3107.5825
63,1227.085,946.105,2309.11
64,3179.35,2894.4449999999997,3640.91
65,2782.705,2079.0875,3174.26
66,2788.46,2191.1099999999997,3192.5950000000003
67,2962.5200000000004,2490.52,3306.5874999999996
68,2500.0,2000.0,3000.0
69,2823.53,2398.02,3291.75
70,3083.33,2694.19,3677.09
71,2666.67,2250.0,3000.0
72,2754.86,2363.285,3238.255
73,3102.56,2869.89,3296.205
74,2568.5,2259.49,2899.1400000000003
75,2647.17,2374.9775,2816.9775
76,2773.43,2440.015,3025.46
77,2327.955,1925.3475,3000.0
78,2942.24,2455.37,3426.96
79,2666.67,2144.84,3000.0
80,2500.0,1750.0,3250.0
81,2528.76,2000.0,3000.0
82,3108.11,2366.605,3906.31
83,1333.33,1000.0,1500.0
84,1416.665,1000.0,1630.395
85,1507.69,1095.455,1666.67
86,1550.0,1125.0,1714.4425
87,1135.22,1067.4250000000002,1208.605
88,1608.335,1076.2075,2056.67
89,2146.4300000000003,1224.0125,2384.455
90,1982.65,1152.78,2000.0
91,2005.37,1430.8525,2034.2675
92,507.11,500.0,853.92
96,1000.0,1000.0,2000.0
97,1000.0,1000.0,2000.0
98,1000.0,1000.0,1000.0
99,1256.5349999999999,938.1425,1822.8375
100,1260.415,779.64,1755.1375
101,1400.0,906.25,1705.0725
102,1431.2649999999999,1107.1425,1709.5125
103,1495.7150000000001,1097.7275,1934.5625
104,1482.295,1163.6025,1690.625
105,1523.585,1055.51,1811.82
106,1366.6100000000001,1122.0249999999999,1612.725
107,1643.74,1274.9975,1993.6275
108,1602.5949999999998,468.455,1854.3975
109,1048.28,763.255,1400.0
110,1112.8200000000002,649.1274999999999,1488.19
111,1159.165,850.6949999999999,1500.0
112,905.79,575.0,1042.0925000000002
113,1511.085,833.33,2008.4025
114,1062.5,796.4275,1812.5
115,1259.375,702.385,1675.0025
116,1416.665,1000.0,2000.0
117,1000.0,1000.0,1500.0
118,1000.0,683.335,1416.665
119,1000.0,545.45,1200.0
120,1016.665,745.8325,1309.6750000000002
121,1000.0,1000.0,1500.0
122,1225.0,944.5550000000001,1536.3975
123,1115.77,824.3575,1634.9875000000002
124,1035.87,845.6025,1559.5275
125,1132.48,824.1725,1564.85
126,1000.0,1000.0,1500.0
127,1000.0,1000.0,1000.0
128,1000.0,1000.0,1650.0025
129,1000.0,812.5,1522.0575000000001
130,1000.0,1000.0,1375.0
131,1347.695,883.2175,1585.5925
132,1000.0,1000.0,1468.75
133,1111.11,937.5,1612.5
134,1170.57,697.685,1460.9550000000002
135,1000.0,1000.0,1666.67
136,1134.56,874.4399999999999,1565.4825
137,1025.0,819.4425,1500.0
138,1250.0,1125.0,1375.0
139,618.33,343.94,704.185
140,855.29,486.1875,1219.2075
141,881.155,561.9375,1269.84
142,1000.0,1000.0,1222.2199999999998
143,937.5,625.0024999999999,1093.1825000000001
144,858.56,725.575,1200.4275
145,1500.0,1250.0,1750.0
146,973.115,684.85,1215.07
147,1334.915,1168.5875,1743.05
149,834.58,449.40250000000003,1029.995
150,1000.0,880.3575,1160.085
151,692.77,558.755,933.645
152,1000.0,875.0,1000.0
153,1000.0,762.5,1106.67
154,1048.78,792.76,1264.495
156,1000.0,1000.0,1000.0
157,1076.165,626.355,1403.3274999999999
158,954.5450000000001,678.5749999999999,1118.75
159,640.54,512.625,797.0799999999999
160,857.84,535.9625000000001,1101.055
161,1000.0,750.0,1166.67
162,732.125,456.09499999999997,1146.93
163,576.975,312.79499999999996,877.665
164,1020.5,758.01,1326.08
165,1457.5149999999999,1149.4775,1835.8575
166,1972.22,1618.75,2300.0
167,2055.5550000000003,1650.0025,2500.0
168,2070.755,1654.885,2498.3
169,1796.7649999999999,1348.605,2065.57
170,1550.4499999999998,1218.405,1831.4825
171,2106.48,1933.515,2527.9625
172,1534.315,1237.3000000000002,1915.7375
174,1391.3,1118.28,1817.855
175,1732.145,1506.3525,2000.0
176,1573.175,1419.335,2074.025
177,1000.0,908.7325,1266.4475
180,750.0,566.04,1041.6675
181,1000.0,743.85,1000.0
182,1000.0,1000.0,1000.0
183,1354.97,1171.5575,1769.795
184,1263.445,1006.7574999999999,1551.71
186,833.33,666.67,1000.0
189,1092.275,803.5625,1418.8825
190,1188.72,938.1775,1504.0975
191,1387.6950000000002,979.9125,1575.3275
192,1476.28,1247.9699999999998,1868.3275
194,1124.52,719.8100000000001,1605.005
195,748.06,432.8725,1125.8925
196,1068.1750000000002,634.15,1489.7075
197,1428.0349999999999,875.6575,1761.6825
