Dist Code,Year,yield_kg_ha
1,1966,666.67
1,1967,1000.0
1,1968,714.29
1,1969,851.85
1,1970,1320.0
1,1971,1148.15
1,1972,1142.86
1,1973,931.03
1,1974,1000.0
1,1975,1000.0
1,1976,666.67
1,1977,823.53
1,1978,852.94
1,1979,1200.0
1,1980,933.33
1,1981,1000.0
1,1982,1033.33
1,1983,1233.33
1,1984,1138.89
1,1985,789.47
1,1986,750.0
1,1987,750.0
1,1988,1052.63
1,1989,1297.3
1,1990,950.0
1,1991,921.05
1,1992,1363.64
1,1993,1105.26
1,1994,895.83
1,1995,1333.33
1,1996,1281.25
1,1997,914.29
1,1998,1012.65
1,1999,1307.44
1,2000,792.52
1,2001,672.21
1,2002,1284.3
1,2003,983.49
1,2004,1186.04
1,2005,1186.04
1,2006,953.14
1,2007,1157.23
1,2008,984.92
1,2009,1045.97
1,2010,1457.32
1,2011,1285.56
1,2012,1538.56
1,2013,1742.2
1,2014,1451.66
1,2015,1467.17
2,1966,1347.83
2,1967,1416.67
2,1968,971.66
2,1969,996.02
2,1970,1421.26
2,1971,1309.7
2,1972,1384.33
2,1973,1437.96
2,1974,1226.95
2,1975,1183.67
2,1976,1135.89
2,1977,996.59
2,1978,1094.2
2,1979,1459.26
2,1980,1082.14
2,1981,1088.89
2,1982,1310.71
2,1983,1344.83
2,1984,1486.11
2,1985,1128.92
2,1986,1214.29
2,1987,1214.29
2,1988,1430.07
2,1989,1926.06
2,1990,1476.36
2,1991,1483.64
2,1992,1683.64
2,1993,1613.97
2,1994,1262.75
2,1995,1684.21
2,1996,1586.07
2,1997,1391.84
2,1998,1531.0
2,1999,1864.0
2,2000,1552.0
2,2001,944.93
2,2002,1424.78
2,2003,1559.7
2,2004,1647.57
2,2005,1647.57
2,2006,1322.31
2,2007,1818.43
2,2008,1612.39
2,2009,1764.74
2,2010,2025.21
2,2011,2063.0
2,2012,2053.36
2,2013,2347.33
2,2014,2016.94
2,2015,2151.35
3,1966,1000.0
3,1967,1000.0
3,1968,1000.0
3,1969,700.0
3,1970,1400.0
3,1971,1222.22
3,1972,1222.22
3,1973,1111.11
3,1974,888.89
3,1975,1000.0
3,1976,900.0
3,1977,900.0
3,1978,888.89
3,1979,666.67
3,1980,750.0
3,1981,1000.0
3,1982,750.0
3,1983,1125.0
3,1984,1222.22
3,1985,888.89
3,1986,1000.0
3,1987,1000.0
3,1988,777.78
3,1989,1000.0
3,1990,857.14
3,1991,900.0
3,1992,1400.0
3,1993,1444.44
3,1994,857.14
3,1995,1142.86
3,1996,1000.0
3,1997,875.0
3,1998,833.33
3,1999,1250.0
3,2000,964.29
3,2001,604.65
3,2002,1194.17
3,2003,956.94
3,2004,1145.16
3,2005,1145.16
3,2006,900.38
3,2007,1142.29
3,2008,1077.52
3,2009,1589.55
3,2010,1384.62
3,2011,1698.11
3,2012,1669.93
3,2013,1750.19
3,2014,2011.53
3,2015,1804.31
4,1966,1090.91
4,1967,1363.64
4,1968,909.09
4,1969,935.78
4,1970,1425.93
4,1971,1196.26
4,1972,1486.24
4,1973,1111.11
4,1974,1000.0
4,1975,1009.35
4,1976,1027.52
4,1977,747.75
4,1978,963.3
4,1979,763.64
4,1980,890.91
4,1981,918.18
4,1982,1030.0
4,1983,1290.91
4,1984,1093.46
4,1985,1051.28
4,1986,916.67
4,1987,1083.33
4,1988,1408.33
4,1989,1383.33
4,1990,1084.03
4,1991,1262.3
4,1992,1403.36
4,1993,1596.64
4,1994,1035.4
4,1995,1344.54
4,1996,1280.7
4,1997,1115.04
4,1998,1232.94
4,1999,1388.76
4,2000,994.26
4,2001,715.07
4,2002,1244.88
4,2003,1206.17
4,2004,1302.9
4,2005,1302.9
4,2006,1064.98
4,2007,1381.2
4,2008,1152.73
4,2009,1467.12
4,2010,1606.28
4,2011,1368.1
4,2012,1795.44
4,2013,1734.72
4,2014,1724.75
4,2015,1416.38
5,1966,1250.0
5,1967,1625.0
5,1968,909.09
5,1969,1134.83
5,1970,1511.11
5,1971,989.01
5,1972,1066.67
5,1973,1065.93
5,1974,1033.71
5,1975,988.76
5,1976,1120.88
5,1977,1011.11
5,1978,1044.94
5,1979,1100.0
5,1980,1088.89
5,1981,987.5
5,1982,1337.5
5,1983,1425.0
5,1984,1272.73
5,1985,1033.71
5,1986,1111.11
5,1987,1213.48
5,1988,1465.12
5,1989,1712.64
5,1990,1226.19
5,1991,1277.11
5,1992,1785.71
5,1993,1855.42
5,1994,1064.94
5,1995,1551.28
5,1996,1311.69
5,1997,1207.79
5,1998,1416.67
5,1999,1823.07
5,2000,1470.2
5,2001,897.06
5,2002,1388.44
5,2003,1450.4
5,2004,1640.71
5,2005,1640.71
5,2006,1264.04
5,2007,1642.66
5,2008,1439.72
5,2009,1656.34
5,2010,1700.0
5,2011,1559.94
5,2012,1870.46
5,2013,2187.79
5,2014,1902.29
5,2015,1683.08
6,1966,1424.24
6,1967,1514.29
6,1968,854.7
6,1969,861.58
6,1970,1402.78
6,1971,723.76
6,1972,785.91
6,1973,1210.67
6,1974,1283.46
6,1975,945.74
6,1976,1293.67
6,1977,646.04
6,1978,880.78
6,1979,873.17
6,1980,1082.93
6,1981,847.62
6,1982,1083.33
6,1983,1526.19
6,1984,1038.46
6,1985,1024.72
6,1986,755.56
6,1987,1065.22
6,1988,1299.13
6,1989,1252.17
6,1990,919.91
6,1991,1112.55
6,1992,1200.43
6,1993,1172.27
6,1994,446.76
6,1995,1523.18
6,1996,1142.22
6,1997,1128.67
6,1998,1552.81
6,1999,1587.21
