Dist Code,Year,yield_kg_ha
1,1993,1000.0
1,1996,1000.0
1,2000,631.0
1,2010,1443.11
1,2013,909.09
1,2014,750.0
3,1991,1000.0
3,1992,1000.0
3,2007,1000.0
3,2011,1000.0
3,2012,1000.0
3,2014,1000.0
4,2000,224.81
4,2008,428.57
4,2011,1000.0
4,2012,500.0
4,2013,751.45
4,2014,515.04
4,2015,500.0
5,1990,571.43
5,1991,500.0
5,1992,600.0
5,1993,500.0
5,2000,500.0
5,2001,333.33
5,2002,500.0
5,2003,250.0
5,2004,250.0
5,2005,250.0
5,2006,428.57
5,2007,500.0
5,2008,400.0
5,2009,500.0
5,2011,500.0
5,2012,400.0
5,2013,500.0
5,2014,666.67
5,2015,666.67
6,1990,500.0
7,1966,750.0
7,1967,500.0
7,1968,666.67
7,1969,500.0
7,1970,666.67
7,1971,666.67
7,1972,666.67
7,1973,666.67
7,1974,600.0
7,1975,500.0
7,1976,500.0
7,1977,500.0
7,1978,500.0
7,1980,250.0
7,1981,1000.0
7,1982,1000.0
7,1983,1000.0
7,1984,1000.0
7,1985,1000.0
7,1986,1000.0
7,1987,1000.0
7,1988,750.0
7,1989,1000.0
7,1990,1000.0
7,1991,666.67
7,1992,800.0
7,1993,500.0
7,2005,1000.0
7,2006,1000.0
8,2006,1000.0
9,1966,500.0
9,1967,500.0
9,1969,500.0
9,1970,500.0
9,1971,500.0
9,1972,500.0
9,1973,500.0
9,1974,500.0
9,1975,500.0
9,1976,500.0
9,1977,666.67
9,1978,333.33
9,1979,333.33
9,1980,333.33
9,1981,500.0
9,1982,500.0
9,1983,500.0
9,1984,1000.0
9,1986,1000.0
9,1987,1000.0
9,1988,1000.0
9,1989,1000.0
9,1990,625.0
9,1991,571.43
9,1992,666.67
9,1993,705.88
9,1994,666.67
9,1995,1000.0
9,1996,1000.0
9,1997,1000.0
9,1998,500.0
9,1999,1000.0
9,2000,666.67
9,2001,500.0
9,2002,1000.0
9,2003,1000.0
9,2004,818.18
9,2005,625.0
9,2006,818.18
9,2010,963.64
9,2011,1218.18
9,2014,1500.0
10,1966,1000.0
10,1967,500.0
10,1968,833.33
10,1969,615.38
10,1970,545.45
10,1971,555.56
10,1972,857.14
10,1973,1000.0
10,1974,833.33
10,1975,600.0
10,1976,600.0
10,1977,1000.0
10,1978,750.0
10,1979,500.0
10,1980,600.0
10,1981,500.0
10,1982,666.67
10,1983,500.0
10,1984,500.0
10,1985,500.0
10,1986,1000.0
10,1987,1000.0
10,1988,1000.0
10,1989,1000.0
10,1990,1000.0
10,1991,818.18
10,1992,1111.11
10,1993,857.14
10,1995,1000.0
10,2000,1000.0
10,2004,1500.0
10,2005,2000.0
10,2007,1000.0
10,2011,1947.37
10,2013,1000.0
10,2014,1333.33
11,1990,1200.0
11,2012,2000.0
13,1990,666.67
13,1991,500.0
13,1992,1000.0
13,1993,1000.0
13,2004,666.67
13,2005,1000.0
