Dist Code,hist_median,hist_q25,hist_q75
1,900.4849999999999,592.2249999999999,1041.4025
2,1133.9299999999998,801.4675,1277.7775
3,685.6099999999999,555.9549999999999,820.1975
4,1039.9450000000002,655.8675,1192.8225
5,1058.44,805.7675,1255.6075
6,999.595,789.4325,1155.81
7,1105.92,913.1949999999999,1246.46
8,1125.8000000000002,956.955,1294.8400000000001
9,1226.545,995.7375000000001,1559.09
10,1378.9650000000001,1043.8274999999999,1531.575
11,1115.555,957.48,1356.5549999999998
12,1047.725,797.3675000000001,1212.5
13,651.515,551.9425,730.4525
14,660.26,576.2075,750.0
15,615.38,522.725,707.145
16,563.72,451.085,602.4475
17,569.5,497.45,647.2674999999999
18,535.845,450.805,601.71
19,529.165,464.8775,589.2574999999999
20,530.52,439.2875,607.625
21,527.635,443.0475,587.0875000000001
22,743.9300000000001,620.1400000000001,836.8025
23,625.0,559.5274999999999,691.6675
24,666.67,578.0475,740.13
25,671.175,545.0525,738.5075
26,889.7049999999999,691.2225,1007.1424999999999
27,694.26,617.04,819.0024999999999
28,666.67,564.425,773.35
29,735.11,609.775,836.5350000000001
30,691.685,532.3225,775.2750000000001
31,666.67,525.2625,740.0925
32,626.225,552.0425,706.25
33,541.19,461.34250000000003,602.38
34,493.445,430.41499999999996,640.3775
35,503.45500000000004,412.7475,602.02
36,930.515,835.515,1080.75
37,713.815,591.85,786.76
38,736.41,614.4875,893.975
39,666.67,575.255,724.9975000000001
40,653.0,543.8225,712.9325
41,587.975,424.935,759.55
42,666.67,569.935,744.795
43,1218.015,1024.4524999999999,1340.4575
44,410.525,262.5025,512.9675
45,333.33,241.8475,387.1625
46,354.17,272.73,510.75
47,333.33,222.22,476.19
48,401.3,259.515,544.6175000000001
49,420.33500000000004,322.83500000000004,556.7375
50,324.56,244.6825,474.0125
51,274.375,209.535,412.5525
52,168.055,121.465,251.76999999999998
53,260.11,183.6125,341.46
54,181.82,151.925,256.58000000000004
55,294.75,216.795,440.45
56,250.0,202.94,335.39
57,230.77,173.11,317.48
58,184.09,145.91,326.2525
59,195.365,136.27,305.26250000000005
60,283.71000000000004,199.505,375.0
61,414.28499999999997,307.69,500.0
62,253.35000000000002,192.5025,333.33
63,198.255,133.6775,310.35
64,595.385,470.775,715.7950000000001
65,616.0699999999999,419.7575,731.72
66,420.9,326.97249999999997,546.4125
67,406.28,296.4275,526.2275
68,396.65,264.345,509.26
69,430.195,312.4975,544.335
70,666.67,472.195,848.0275
71,458.045,360.965,533.42
72,659.5699999999999,489.2575,754.205
73,507.315,415.6175,634.0500000000001
74,494.78499999999997,355.79999999999995,598.05
75,396.19,273.59,514.9525
76,387.695,256.7525,564.005
77,612.8199999999999,484.485,770.2225000000001
78,301.04,209.87,498.025
79,413.91999999999996,329.81,501.74
81,500.0,351.1875,506.58000000000004
82,500.0,500.0,500.0
83,600.0,520.0,666.67
84,543.48,397.67,635.6575
85,555.51,498.4375,653.835
86,549.73,504.545,683.8775
87,528.175,386.6525,602.07
88,485.205,389.52750000000003,541.5124999999999
89,552.095,457.385,651.5125
90,603.845,518.2875,700.0
91,531.46,462.605,621.6275
92,545.45,482.145,645.835
94,1000.0,500.0,1000.0
96,448.025,342.11,527.78
97,433.03499999999997,363.64,557.295
98,450.0,333.33,559.5274999999999
99,701.4749999999999,628.4725,782.2025000000001
100,625.5450000000001,515.3974999999999,759.345
101,717.56,615.8625,831.41
102,492.345,359.36,559.1800000000001
103,536.47,471.9275,666.67
104,578.4,398.96500000000003,722.5925
105,564.06,401.5725,726.825
106,262.66999999999996,179.82250000000002,346.42
107,620.405,405.5575,735.85
108,327.495,241.89749999999998,454.815
109,555.12,444.76750000000004,621.5550000000001
110,367.59000000000003,250.1,481.4575
111,517.8,410.8075,678.175
112,391.01,301.65250000000003,554.5550000000001
113,712.825,529.12,805.0675
114,676.765,602.45,867.3125
115,785.36,683.215,890.875
116,807.21,734.71,955.0675
117,945.125,808.4749999999999,1049.8274999999999
118,508.595,441.6925,622.4775
119,539.3399999999999,443.625,730.55
120,465.875,405.78499999999997,634.4000000000001
121,632.69,423.77,840.165
