Dist Code,Year,yield_kg_ha
1,1966,405.41
1,1967,722.22
1,1968,784.31
1,1969,764.71
1,1970,1057.06
1,1971,1020.65
1,1972,1292.68
1,1973,708.07
1,1974,1156.92
1,1975,780.7
1,1976,365.7
1,1977,524.59
1,1978,789.81
1,1979,570.95
1,1980,784.25
1,1981,1087.11
1,1982,783.33
1,1983,1031.87
1,1984,1042.31
1,1985,1127.66
1,1986,1074.07
1,1987,1000.0
1,1988,1141.18
1,1989,1071.71
1,1990,1031.58
1,1991,1041.1
1,1992,1035.09
1,1993,1086.71
1,1994,1019.23
1,1995,854.3
1,1996,976.19
1,1997,595.04
1,1998,946.67
1,1999,1017.27
1,2000,345.8
1,2001,383.23
1,2002,404.43
1,2003,583.78
1,2004,498.67
1,2005,498.67
1,2006,431.39
1,2007,493.05
1,2008,550.84
1,2009,518.7
1,2010,402.03
1,2011,440.09
1,2012,543.12
1,2013,499.89
1,2014,628.58
1,2015,445.48
2,1966,666.67
2,1967,1000.0
2,1968,909.09
2,1969,909.09
2,1970,1160.0
2,1971,1181.82
2,1972,1258.06
2,1973,833.33
2,1974,1142.86
2,1975,1189.19
2,1976,705.88
2,1977,1066.67
2,1978,645.16
2,1979,583.33
2,1980,850.0
2,1981,1450.0
2,1982,1000.0
2,1983,1409.09
2,1984,1238.1
2,1985,1409.09
2,1986,1333.33
2,1987,1000.0
2,1988,1366.67
2,1989,1500.0
2,1990,1500.0
2,1991,1346.15
2,1992,1259.26
2,1993,1392.86
2,1994,1346.15
2,1995,1125.0
2,1996,1208.33
2,1997,1083.33
2,1998,1176.47
2,1999,1163.09
2,2000,525.0
2,2001,454.55
2,2002,378.18
2,2003,687.72
2,2004,538.73
2,2005,538.73
2,2006,485.92
2,2007,733.33
2,2008,600.0
2,2009,548.12
2,2010,404.35
2,2011,418.92
2,2012,657.28
2,2013,628.44
2,2014,635.94
2,2015,608.04
3,1966,250.0
3,1967,500.0
3,1968,579.71
3,1969,608.7
3,1970,866.67
3,1971,836.36
3,1972,1042.55
3,1973,630.43
3,1974,704.55
3,1975,847.83
3,1976,342.11
3,1977,810.81
3,1978,666.67
3,1979,588.24
3,1980,588.24
3,1981,882.35
3,1982,566.67
3,1983,848.48
3,1984,758.62
3,1985,857.14
3,1986,666.67
3,1987,1000.0
3,1988,666.67
3,1989,724.14
3,1990,814.81
3,1991,720.0
3,1992,808.51
3,1993,891.3
3,1994,842.11
3,1995,707.32
3,1996,710.53
3,1997,523.81
3,1998,620.69
3,1999,749.35
3,2000,289.97
3,2001,270.94
3,2002,288.25
3,2003,379.08
3,2004,371.36
3,2005,371.36
3,2006,297.48
3,2007,479.45
3,2008,523.53
3,2009,443.11
3,2010,287.18
3,2011,323.68
3,2012,407.01
3,2013,376.47
3,2014,436.24
3,2015,320.69
4,1966,500.0
4,1967,555.56
4,1968,804.6
4,1969,842.7
4,1970,1238.1
4,1971,1202.38
4,1972,1402.44
4,1973,845.24
4,1974,1190.48
4,1975,1192.77
4,1976,671.64
4,1977,820.51
4,1978,967.21
4,1979,588.24
4,1980,937.5
4,1981,1154.93
4,1982,813.56
4,1983,1183.91
4,1984,1028.17
4,1985,1181.82
4,1986,1333.33
4,1987,1166.67
4,1988,1396.83
4,1989,1238.1
4,1990,1250.0
4,1991,1137.93
4,1992,1192.98
4,1993,1459.46
4,1994,1285.71
4,1995,1051.72
4,1996,1094.34
4,1997,574.07
4,1998,1026.73
4,1999,1121.4
4,2000,419.51
4,2001,397.47
4,2002,452.44
4,2003,608.55
4,2004,520.68
4,2005,520.68
4,2006,461.89
4,2007,531.72
4,2008,575.0
4,2009,596.48
4,2010,450.88
4,2011,485.47
4,2012,614.14
4,2013,596.16
4,2014,645.52
4,2015,485.8
5,1966,666.67
5,1967,1000.0
5,1968,1000.0
5,1969,920.0
5,1970,1240.0
5,1971,1000.0
5,1972,1347.83
5,1973,807.69
5,1974,1000.0
5,1975,1173.91
5,1976,727.27
5,1977,1190.48
5,1978,1045.45
5,1979,619.05
5,1980,904.76
5,1981,1150.0
5,1982,800.0
5,1983,1263.16
5,1984,1105.26
5,1985,1263.16
5,1986,1500.0
5,1987,1000.0
5,1988,1400.0
5,1989,1333.33
5,1990,1304.35
5,1991,1240.0
5,1992,1296.3
5,1993,1259.26
5,1994,1296.3
5,1995,1071.43
5,1996,1172.41
5,1997,1035.71
5,1998,1122.45
5,1999,1254.39
5,2000,482.68
5,2001,417.79
5,2002,462.73
5,2003,626.89
5,2004,510.37
5,2005,510.37
5,2006,449.44
5,2007,445.57
5,2008,526.99
5,2009,505.17
5,2010,473.04
5,2011,523.96
5,2012,621.12
5,2013,659.33
5,2014,656.51
5,2015,474.97
6,1966,555.56
6,1967,990.1
6,1968,744.68
6,1969,822.92
6,1970,1010.42
6,1971,804.35
6,1972,1136.36
6,1973,872.09
6,1974,927.71
6,1975,1119.05
6,1976,605.63
6,1977,973.33
6,1978,970.15
6,1979,491.8
6,1980,843.75
6,1981,1115.94
6,1982,808.82
6,1983,1134.33
6,1984,1114.29
6,1985,1044.12
6,1986,1428.57
6,1987,1250.0
6,1988,1253.16
6,1989,1402.44
6,1990,1393.26
6,1991,1170.21
6,1992,978.26
6,1993,1343.75
6,1994,1295.92
6,1995,1081.82
6,1996,1153.15
6,1997,1009.09
6,1998,1163.79
6,1999,1213.73
6,2000,522.06
6,2001,438.44
6,2002,483.24
6,2003,651.79
6,2004,548.79
6,2005,548.79
6,2006,470.62
6,2007,541.2
6,2008,630.89
6,2009,501.3
6,2010,468.75
6,2011,439.76
6,2012,644.04
6,2013,559.43
6,2014,652.11
6,2015,499.76
7,1966,400.0
7,1967,1076.92
7,1968,650.41
