Dist Code,Year,yield_kg_ha
1,1966,337.59
1,1967,747.71
1,1968,841.27
1,1969,711.4
1,1970,828.55
1,1971,709.69
1,1972,654.41
1,1973,786.5
1,1974,372.83
1,1975,758.82
1,1976,551.04
1,1977,952.89
1,1978,591.35
1,1979,535.99
1,1980,812.1
1,1981,804.6
1,1982,817.49
1,1983,1134.51
1,1984,891.81
1,1985,1109.38
1,1986,816.49
1,1987,807.1
1,1988,842.19
1,1989,692.67
1,1990,1181.43
1,1991,1136.31
1,1992,1129.8
1,1993,1246.02
1,1994,1331.73
1,1995,1454.44
1,1996,1290.2
1,1997,1138.37
1,1998,870.45
1,1999,1251.04
1,2000,624.89
1,2001,1294.13
1,2002,643.6
1,2003,1494.73
1,2004,1268.46
1,2005,1268.46
1,2006,1505.81
1,2007,1369.98
1,2008,876.42
1,2009,788.37
1,2010,1695.77
1,2011,1756.23
1,2012,1900.97
1,2013,1581.86
1,2014,1729.89
1,2015,1076.95
2,1966,642.86
2,1967,770.53
2,1968,694.71
2,1969,766.72
2,1970,723.78
2,1971,822.71
2,1972,645.0
2,1973,808.66
2,1974,670.73
2,1975,890.03
2,1976,644.26
2,1977,909.17
2,1978,820.15
2,1979,621.51
2,1980,754.33
2,1981,743.65
2,1982,705.7
2,1983,758.36
2,1984,741.66
2,1985,1502.16
2,1986,724.82
2,1987,688.29
2,1988,965.78
2,1989,952.77
2,1990,970.47
2,1991,1072.13
2,1992,912.56
2,1993,997.36
2,1994,990.33
2,1995,951.7
2,1996,1040.99
2,1997,730.57
2,1998,908.63
2,1999,1075.95
2,2000,834.2
2,2001,1454.52
2,2002,531.14
2,2003,1648.41
2,2004,1241.05
2,2005,1241.05
2,2006,1530.61
2,2007,1481.83
2,2008,1161.76
2,2009,1089.04
2,2010,1905.45
2,2011,1231.23
2,2012,2103.06
2,2013,1969.4
2,2014,2129.33
2,2015,1030.87
3,1966,654.11
3,1967,860.88
3,1968,861.24
3,1969,912.95
3,1970,1209.29
3,1971,929.1
3,1972,902.64
3,1973,867.45
3,1974,539.67
3,1975,884.47
3,1976,746.39
3,1977,1155.27
3,1978,865.4
3,1979,528.55
3,1980,892.05
3,1981,989.87
3,1982,772.31
3,1983,1232.15
3,1984,1149.63
3,1985,1587.32
3,1986,989.0
3,1987,1231.14
3,1988,1026.81
3,1989,1418.61
3,1990,1363.15
3,1991,1427.0
3,1992,1609.95
3,1993,1598.11
3,1994,1448.82
3,1995,1447.49
3,1996,1683.87
3,1997,1106.25
3,1998,712.86
3,1999,1451.13
3,2000,518.81
3,2001,1241.74
3,2002,734.67
3,2003,1442.52
3,2004,1249.64
3,2005,1249.64
3,2006,1442.43
3,2007,1550.53
3,2008,1329.15
3,2009,1407.66
3,2010,1661.71
3,2011,1483.67
3,2012,1987.25
3,2013,1733.23
3,2014,2055.8
3,2015,1431.57
4,1966,520.83
4,1967,875.0
4,1968,660.84
4,1969,719.27
4,1970,930.96
4,1971,890.98
4,1972,840.15
4,1973,778.19
4,1974,767.47
4,1975,1008.9
4,1976,660.76
4,1977,1066.75
4,1978,770.87
4,1979,332.01
4,1980,969.09
4,1981,883.45
4,1982,616.57
4,1983,1006.04
4,1984,833.64
4,1985,1376.44
4,1986,1365.82
4,1987,1079.94
4,1988,1372.92
4,1989,1040.21
4,1990,1398.4
4,1991,1296.55
4,1992,1046.83
4,1993,1351.81
4,1994,1617.9
4,1995,1331.5
4,1996,1340.84
4,1997,495.81
4,1998,812.27
4,1999,1498.18
4,2000,621.31
4,2001,1422.13
4,2002,875.59
4,2003,1424.48
4,2004,1228.45
4,2005,1228.45
4,2006,1581.33
4,2007,1619.32
4,2008,1428.76
4,2009,1427.57
4,2010,1889.83
4,2011,2079.01
4,2012,2337.61
4,2013,2171.95
4,2014,2310.43
4,2015,1831.92
5,1966,611.45
5,1967,834.83
5,1968,786.68
5,1969,744.71
5,1970,802.75
5,1971,700.23
5,1972,616.57
5,1973,908.07
5,1974,654.59
5,1975,888.26
5,1976,563.38
5,1977,977.01
5,1978,810.71
5,1979,411.98
5,1980,903.8
5,1981,876.07
5,1982,728.3
5,1983,964.54
5,1984,772.24
5,1985,963.61
5,1986,841.84
5,1987,816.33
5,1988,1014.24
5,1989,902.68
5,1990,964.36
5,1991,1106.46
5,1992,1054.84
5,1993,1229.72
5,1994,1337.46
5,1995,1034.52
5,1996,1287.35
5,1997,816.3
5,1998,1115.76
5,1999,1131.18
5,2000,564.73
5,2001,1252.02
5,2002,678.1
5,2003,1294.14
5,2004,991.22
5,2005,991.22
5,2006,1040.07
5,2007,1259.04
5,2008,1183.18
5,2009,1118.31
5,2010,1375.15
5,2011,1430.41
5,2012,1517.28
5,2013,1387.92
5,2014,1608.68
5,2015,1013.29
6,1966,313.38
6,1967,654.68
6,1968,538.16
6,1969,673.57
6,1970,679.39
6,1971,863.59
6,1972,510.87
6,1973,748.9
6,1974,470.23
6,1975,744.9
6,1976,472.3
6,1977,882.72
6,1978,654.48
6,1979,255.77
6,1980,801.23
6,1981,698.31
6,1982,734.34
6,1983,678.38
6,1984,666.06
6,1985,757.81
6,1986,761.9
6,1987,692.98
6,1988,801.7
6,1989,952.73
6,1990,1189.35
6,1991,855.36
6,1992,694.48
6,1993,791.16
6,1994,1112.86
6,1995,880.39
6,1996,1056.14
6,1997,808.61
6,1998,731.07
6,1999,1136.67
6,2000,636.58
6,2001,1333.56
6,2002,680.51
6,2003,1311.14
6,2004,982.46
6,2005,982.46
6,2006,1054.18
6,2007,1143.27
6,2008,1176.01
6,2009,720.05
6,2010,1075.9
6,2011,1405.53
6,2012,1632.47
6,2013,1704.2
6,2014,1801.22
6,2015,1193.82
7,1966,176.47
7,1967,558.33
7,1968,362.9
7,1969,487.1
7,1970,650.63
7,1971,715.39
7,1972,439.81
7,1973,531.25
7,1974,326.01
7,1975,759.12
7,1976,487.36
7,1977,900.69
7,1978,701.03
7,1979,12.62
7,1980,500.0
7,1981,336.2
7,1982,479.93
7,1983,671.96
7,1984,342.34
7,1985,761.98
7,1986,188.98
7,1987,601.77
7,1988,596.97
7,1989,467.46
7,1990,825.09
7,1991,541.91
7,1992,658.84
7,1993,680.24
7,1994,758.39
7,1995,738.85
7,1996,563.32
7,1997,532.76
7,1998,513.37
7,1999,1052.82
7,2000,438.22
7,2001,839.03
7,2002,567.31
7,2003,978.11
7,2004,901.95
7,2005,863.52
7,2006,598.1
7,2007,347.98
7,2008,598.33
7,2009,582.84
7,2010,1025.81
7,2011,1297.59
7,2012,1608.25
7,2013,1931.0
7,2014,1273.74
7,2015,1120.3
8,1966,464.45
8,1967,924.88
8,1968,864.77
8,1969,1006.85
8,1970,1073.89
8,1971,1189.66
8,1972,621.14
8,1973,887.24
8,1974,496.84
8,1975,1027.2
8,1976,868.16
8,1977,1241.97
8,1978,1000.44
8,1979,447.67
8,1980,1404.08
8,1981,1237.72
8,1982,1015.99
8,1983,1227.87
8,1984,673.49
8,1985,1318.3
8,1986,1004.29
8,1987,1009.85
8,1988,1525.31
