Dist Code,Year,yield_kg_ha
1,1966,666.67
1,1967,818.18
1,1968,800.0
1,1969,750.0
1,1970,666.67
1,1971,666.67
1,1972,1000.0
1,1973,1000.0
1,1974,800.0
1,1975,1000.0
1,1976,1000.0
1,1977,1000.0
1,1978,1000.0
1,1979,1000.0
1,1980,1000.0
1,1981,1000.0
1,1982,1000.0
1,1983,1000.0
1,1984,1000.0
1,1985,666.67
1,1986,500.0
1,1987,666.67
1,1988,1000.0
1,1989,1000.0
1,1990,800.0
1,1991,782.61
1,1992,909.09
1,1993,1384.62
1,1994,666.67
1,1995,1000.0
1,1996,666.67
1,1997,80.65
1,1998,1000.0
1,2000,558.46
1,2001,902.45
1,2002,947.81
1,2003,872.07
1,2004,678.48
1,2005,604.58
1,2006,717.19
1,2007,920.85
1,2008,1244.99
1,2009,1180.57
1,2010,1393.94
1,2011,774.6
1,2012,705.81
1,2013,636.36
1,2014,809.24
1,2015,1039.58
2,1966,857.14
2,1967,807.02
2,1968,768.12
2,1969,705.88
2,1970,800.0
2,1971,661.29
2,1972,787.88
2,1973,851.85
2,1974,716.05
2,1975,868.13
2,1976,635.14
2,1977,779.22
2,1978,692.31
2,1979,882.98
2,1980,861.7
2,1981,911.11
2,1982,611.11
2,1983,940.0
2,1984,1041.24
2,1985,1053.76
2,1986,888.89
2,1987,1011.11
2,1988,914.89
2,1989,1011.11
2,1990,962.96
2,1991,961.04
2,1992,1106.67
2,1993,1709.09
2,1994,837.84
2,1995,1100.0
2,1996,1000.0
2,1997,824.26
2,1998,1175.93
2,2000,590.05
2,2001,986.79
2,2002,631.02
2,2003,1096.95
2,2004,698.59
2,2005,543.86
2,2006,597.35
2,2007,850.0
2,2008,817.31
2,2009,1180.49
2,2010,1629.63
2,2011,903.67
2,2012,860.99
2,2013,726.03
2,2014,950.0
2,2015,910.18
3,1966,833.33
3,1967,1000.0
3,1968,833.33
3,1969,666.67
3,1970,800.0
3,1971,800.0
3,1972,1000.0
3,1973,1000.0
3,1974,750.0
3,1975,1000.0
3,1976,800.0
3,1977,1166.67
3,1978,666.67
3,1979,500.0
3,1980,833.33
3,1981,1000.0
3,1982,500.0
3,1983,1000.0
3,1984,833.33
3,1985,1000.0
3,1986,800.0
3,1987,800.0
3,1988,800.0
3,1989,800.0
3,1990,833.33
3,1991,800.0
3,1992,800.0
3,1993,1000.0
3,1994,750.0
3,1995,750.0
3,1996,666.67
3,1997,833.33
3,1998,800.0
3,2000,638.89
3,2001,888.89
3,2002,1000.0
3,2003,892.86
3,2004,653.85
3,2005,653.85
3,2006,760.87
3,2007,1023.7
3,2008,1318.18
3,2009,1652.17
3,2010,1045.45
3,2011,833.33
3,2012,625.0
3,2013,714.29
3,2014,888.89
3,2015,1000.0
4,1966,615.38
4,1967,1000.0
4,1968,714.29
4,1969,714.29
4,1970,750.0
4,1971,666.67
4,1972,1235.29
4,1973,941.18
4,1974,882.35
4,1975,833.33
4,1976,666.67
4,1977,842.11
4,1978,700.0
4,1979,555.56
4,1980,842.11
4,1981,684.21
4,1982,529.41
