Dist Code,hist_median,hist_q25,hist_q75
1,1750.0,1000.0,1967.3899999999999
2,3348.4849999999997,3000.0,3500.0
3,3200.0,2936.505,3666.67
4,2134.5,1956.8975,2500.0
5,3236.1099999999997,2968.75,3407.1425
6,3000.0,2107.145,3266.6675
7,2000.0,1775.0,2550.0
8,4510.87,4082.8225,4714.29
9,4738.305,2941.62,6463.342500000001
10,2824.4449999999997,2450.165,4333.615
11,3195.745,3000.0,3440.9925000000003
12,2868.535,2108.3325,3077.3824999999997
13,2500.0,2000.0,3000.0
14,2000.0,2000.0,3000.0
15,4599.355,2277.775,5666.67
16,2000.0,1950.0,2500.0
17,2000.0,1500.0,2000.0
18,2000.0,1000.0,2000.0
19,1458.335,1000.0,2500.0
20,2000.0,1000.0,3000.0
21,2000.0,1000.0,2000.0
22,3416.1949999999997,3239.73,4001.0625
23,2363.64,2083.475,2439.235
24,2000.0,1744.3175,2229.165
25,2579.835,2237.5,2800.0
26,4039.135,3429.5699999999997,4267.7474999999995
27,2500.0,2166.67,3000.0
28,3173.91,2853.535,3279.2200000000003
29,4266.67,3380.95,4545.45
30,2017.855,1623.685,2220.3975
31,4000.0,3298.245,4372.995000000001
32,1937.255,1761.6425,2007.8125
33,1809.0900000000001,1696.0775,2000.0
34,2166.67,2000.0,4000.0
35,2943.75,2130.8925,3116.915
36,3816.665,3209.35,4152.5
37,3342.83,2805.1125,3847.0325000000003
38,1666.67,1000.0,3000.0
39,1750.0,1592.8575,2000.0
40,3845.2349999999997,3635.1525,4106.415
41,2291.665,1746.71,2708.33
42,2216.52,2067.4624999999996,2708.9275000000002
43,3000.0,2500.0,3450.0
44,6406.389999999999,6117.265,7290.985
45,5548.665000000001,4773.0725,6168.8775000000005
46,7951.775,7252.4925,8524.3425
47,7995.035,7484.295,9027.630000000001
48,8830.415,7534.5425000000005,9312.26
49,7075.715,6192.6625,7768.145
50,7305.825,6570.3099999999995,8125.0
51,7954.545,6741.0725,8558.04
52,7771.93,7031.25,8553.544999999998
53,7875.0,7000.0,8727.27
54,7898.24,6741.5875,8511.1
55,7529.889999999999,6873.735,8423.077500000001
56,7646.764999999999,7186.1050000000005,8504.765
57,7000.0,6144.0,7759.6425
58,7000.0,4000.0,7500.0
59,7182.4349999999995,5675.0,7773.0775
60,4500.0,2750.0,7000.0
61,7000.0,5499.9974999999995,7483.74
62,7500.0,6944.445,8250.0
63,7800.0,6666.67,9000.0
64,8327.315,7224.9400000000005,9404.4475
65,7609.645,6979.1675,8836.397500000001
66,8656.65,7703.8275,9432.8725
67,10071.72,9099.192500000001,11247.8925
68,10326.98,9403.735,11159.0875
69,9064.715,8165.82,9885.7175
70,10007.355,7165.79,11141.157500000001
71,8801.135,8143.16,9809.5325
72,8915.71,7180.45,9642.8825
73,7876.8150000000005,7050.23,8924.68
74,7182.05,6426.7425,8158.49
75,7408.415,6698.695,7932.5625
76,7776.415,7120.505,9193.11
77,6962.805,6020.57,7898.945
78,8000.0,6741.795,9039.04
79,7353.629999999999,6512.54,8271.92
80,8415.57,7679.3075,9522.06
81,7419.715,6831.5824999999995,8292.8575
82,9250.0,7249.9974999999995,9937.5
83,10206.05,9024.842499999999,12334.375
84,11104.045,9814.0475,12003.9875
85,8299.205,7209.065,8934.9125
86,9906.8,9072.55,11042.225
87,10251.665,9243.785,10948.52
88,10830.565,9605.9,11532.97
89,10215.865,8400.275000000001,11321.455
90,9917.17,8461.1275,11557.205000000002
91,9166.025,8144.324999999999,10500.872500000001
92,10007.79,9011.16,10950.1775
93,11250.0,9562.5,12000.0
96,10000.0,5000.0,10000.0
98,8750.0,7375.0,10125.0
99,9171.99,8661.105,10256.0275
100,7719.63,7014.8075,8302.295
101,8029.295,7121.1900000000005,8599.88
102,8374.36,7633.3724999999995,8970.0425
103,8682.55,7920.91,9360.164999999999
104,8762.395,7655.92,9504.9175
105,9047.35,8097.89,9651.345
106,8524.39,7332.1525,9009.8025
107,8708.965,8100.115,9118.985
108,7422.3150000000005,6415.92,8624.66
109,6646.305,5610.515,7566.2375
110,7136.905,6528.675,7697.885
111,6789.115,5907.695,7386.29
112,6747.98,5871.805,7359.264999999999
113,7313.725,6459.7925,7785.58
114,7000.0,6355.0,7446.4275
115,7333.33,6545.455,8435.735
116,7178.5,6642.775,7502.0825
117,7000.0,6000.0,7770.0
118,7000.0,6000.0,8000.0
119,6833.33,5142.86,7500.0
120,7000.0,6650.0,8000.0
121,6500.0,3937.5,7166.67
122,6284.12,4483.8125,7507.817499999999
123,5000.0,3504.525,7000.0
124,6175.225,4750.0025,6892.8550000000005
125,6847.0599999999995,5000.0,7700.0
126,7000.0,5849.1,7433.445
127,6817.0599999999995,5928.1075,7498.235
128,4000.0,4000.0,4000.0
129,6833.33,5950.0,7270.8325
130,6348.66,5673.712500000001,7173.9825
131,6125.0,3600.0,7500.0
132,6000.0,3800.0,7000.0
133,3833.335,3458.3325,6000.0
134,5500.0,3750.0,7000.0
135,6329.1,5009.26,7344.6825
136,5500.0,4326.39,7200.0
137,7299.98,6142.52,7770.385
138,6250.0,5000.0,7287.5
139,4291.665,3525.0,5000.0
140,4048.615,3458.3325,4703.5725
141,3730.45,3100.0,4873.83
143,3759.615,2704.0075,4860.8
144,3447.2200000000003,2968.75,3959.965
145,4339.285,4000.0,5125.0025000000005
146,4233.84,3670.245,4935.1325
147,4778.6900000000005,3967.7425,5635.587500000001
149,3933.335,3299.9975,4625.0
150,4456.895,3603.715,5183.3175
151,4142.86,3636.36,4818.18
152,2000.0,2000.0,2000.0
154,4350.0,3583.33,5555.5575
157,4055.555,3315.4725,5068.1825
158,1000.0,750.0,4000.0
159,3000.0,3000.0,4000.0
160,4424.105,3362.5,5511.0875
161,4000.0,3000.0,4750.0025000000005
162,5200.0,5100.0,5766.665
163,4000.0,3068.1825,5738.4625
164,3928.955,3132.065,4652.6325
165,5859.52,4884.87,6290.1125
166,5457.59,4742.424999999999,6071.4275
167,5825.395,5333.33,6439.075
168,5978.62,5551.08,6375.67
169,5400.73,4058.3324999999995,5888.047500000001
170,5738.635,5320.8325,6172.5925
171,6019.355,5497.7675,6338.0650000000005
172,5968.005,4300.594999999999,6600.3425
174,5241.27,4280.4575,5832.4825
175,6200.0,5348.5,6860.865
176,5986.88,5262.0175,6387.7474999999995
177,4632.34,4011.7225,5360.54
180,4000.0,3073.3675,4561.815
181,4813.06,3934.09,5387.610000000001
182,3956.52,3333.33,4534.0875
183,5176.695,4170.8475,5708.99
184,5045.455,4437.4525,5927.842500000001
186,4668.135,3923.8475,5179.7825
189,5544.49,4976.285,6131.3775
190,5719.035,5096.4574999999995,6541.7
191,5342.25,4702.4825,6364.1725
192,5087.555,4257.09,6033.9425
194,4713.139999999999,3642.515,5699.7775
195,4447.955,3457.865,5152.865
196,4337.74,3553.915,5216.0075
197,4119.375,3418.5525,5023.6425
198,4573.975,3739.2725,5317.8125
199,5133.98,4156.462500000001,5839.61
200,4691.355,3797.0875,6126.0675
201,5091.27,4449.835,5686.425
202,4888.625,3799.035,5421.8125
203,4897.73,4014.89,5785.5599999999995
204,4899.92,4145.525,5923.7275
205,5327.045,4644.9325,6161.594999999999
206,4547.92,3852.685,5412.1224999999995
207,3832.325,3404.4075000000003,4703.3525
208,4113.57,3474.1400000000003,4755.8075
209,4102.735,3503.125,4695.5275
210,3659.935,3338.055,4184.0625
211,3983.8500000000004,3000.0,4510.135
213,3914.775,3006.78,4418.42
214,4039.04,3133.52,4462.077499999999
215,3800.755,3076.3875,4235.5775
216,3948.27,3527.915,4295.225
217,4273.535,3476.0425,5231.25
218,4136.24,3841.265,4486.985
219,3755.94,3382.7799999999997,4234.5825
220,3950.23,3493.6075,4467.135
221,5129.72,4727.2825,5506.3724999999995
222,4703.4349999999995,4224.2175,5291.575000000001
223,4730.395,4060.9700000000003,5381.145
224,4097.08,3604.06,4423.7675
225,3944.4449999999997,3578.5475,4935.7425
226,3980.0,3258.7775,4745.5824999999995
227,4494.1849999999995,3812.17,4770.665
228,4405.924999999999,3796.6975,4979.5125
229,4421.9349999999995,3565.1125,4793.0225
230,4284.26,3627.3375,5189.7175
231,4571.8,3675.6575,5011.2775
232,4401.55,3823.3475,4917.3625
233,3978.565,3637.5,4643.4925
234,4105.514999999999,3289.5125,4553.85
235,3384.49,2982.1425,4134.98
236,4046.95,3645.675,4911.125
237,5288.665,4146.7875,5969.7275
239,4000.0,3000.0,5500.0
243,5500.0,5500.0,5500.0
244,5503.5599999999995,4863.9025,5938.8175
601,3940.0,3627.035,4181.620000000001
602,3783.56,3666.41,3987.705
603,3722.22,3491.94,3881.3
604,3838.71,3673.75,4005.0
605,4162.16,3998.865,4678.395
606,4326.88,4119.11,4486.465
607,3923.08,3730.125,4304.764999999999
608,3245.71,3132.415,3375.49
609,3585.92,3432.92,3869.085
610,4029.2,3792.955,4305.125
626,929.17,700.0,1044.44
629,923.685,725.5899999999999,1320.0
633,526.665,140.9475,858.4575
634,1250.0,1000.0,1393.75
635,563.41,56.76,565.0
636,1582.88,368.32,2138.7525
651,521.96,489.02,573.04
652,500.0,355.305,624.24
653,613.885,594.405,732.255
655,617.5899999999999,578.15,718.2625
