Dist Code,Year,yield_kg_ha
1,1966,1777.78
1,1967,1500.0
1,1968,1000.0
1,1969,1900.0
1,1970,2000.0
1,1971,2000.0
1,1972,2000.0
1,1973,6000.0
1,1974,1875.0
1,1975,1750.0
1,1976,1333.33
1,1977,3000.0
1,1978,2000.0
1,1979,1000.0
1,1980,1000.0
1,1981,1000.0
1,1982,2000.0
1,1983,1500.0
1,1984,1666.67
1,1985,1000.0
1,1986,1250.0
1,1987,3000.0
1,1988,2500.0
1,1989,1750.0
1,1990,1428.57
1,1991,1956.52
1,1992,1714.29
1,1993,1777.78
1,1994,1750.0
1,1995,1600.0
1,1996,1833.33
1,1997,1875.0
1,1998,1939.21
1,1999,3340.34
1,2000,178.83
1,2001,188.49
1,2002,206.84
1,2003,207.38
1,2004,206.84
1,2005,206.84
1,2006,105.93
1,2007,123.15
1,2008,111.7
1,2009,231.58
1,2010,256.96
1,2011,506.02
1,2012,252.98
1,2013,237.45
1,2014,602.17
1,2015,228.49
2,1966,3428.57
2,1967,3111.11
2,1968,3083.33
2,1969,3416.67
2,1970,3454.55
2,1971,3166.67
2,1972,3363.64
2,1973,3333.33
2,1974,3083.33
2,1975,3363.64
2,1976,3222.22
2,1977,3125.0
2,1978,3500.0
2,1979,2428.57
2,1980,3400.0
2,1981,3500.0
2,1982,3500.0
2,1983,3500.0
2,1984,3250.0
2,1985,3000.0
2,1986,3500.0
2,1987,4000.0
2,1988,3000.0
2,1989,3500.0
2,1990,3666.67
2,1991,2941.18
2,1992,3513.51
2,1993,3750.0
2,1994,3000.0
2,1995,3666.67
2,1996,3250.0
2,1997,3448.28
2,1998,4000.0
2,1999,3648.65
2,2000,295.45
2,2001,333.33
2,2002,281.25
2,2003,318.18
2,2004,322.58
2,2005,322.58
2,2006,145.83
2,2007,161.54
2,2008,184.87
2,2009,330.1
2,2010,117.65
2,2011,629.63
2,2012,355.56
2,2013,269.23
2,2014,540.98
2,2015,298.52
3,1966,3000.0
3,1967,3300.0
3,1968,3333.33
3,1969,3200.0
3,1970,3300.0
3,1971,3600.0
3,1972,4000.0
3,1973,6600.0
3,1974,3500.0
3,1975,3500.0
3,1976,3750.0
3,1977,3875.0
3,1978,3833.33
3,1979,2857.14
3,1980,4250.0
3,1981,3500.0
3,1982,3250.0
3,1983,3666.67
3,1984,4333.33
3,1985,3666.67
3,1986,4500.0
3,1987,2666.67
3,1988,2333.33
3,1989,3000.0
3,1990,3200.0
3,1991,3076.92
3,1992,3103.45
3,1993,2962.96
3,1994,3000.0
3,1995,3000.0
3,1996,4000.0
3,1997,3000.0
3,1998,2500.0
3,1999,3157.89
3,2000,312.5
3,2001,272.73
3,2002,272.73
3,2003,266.67
3,2004,294.12
3,2005,294.12
3,2006,192.31
3,2007,200.0
3,2008,206.9
3,2009,40.0
3,2010,307.69
3,2011,538.46
3,2012,363.64
3,2013,347.83
3,2014,583.33
3,2015,297.3
4,1966,1800.0
4,1967,1787.88
4,1968,1931.03
4,1969,1965.52
4,1970,2043.48
4,1971,2041.67
4,1972,2000.0
4,1973,4090.91
4,1974,2166.67
4,1975,2409.09
4,1976,2080.0
4,1977,2157.89
4,1978,2100.0
4,1979,1500.0
4,1980,2111.11
4,1981,2250.0
4,1982,2000.0
4,1983,2111.11
4,1984,2166.67
4,1985,2375.0
4,1986,2500.0
4,1987,2461.54
4,1988,2500.0
4,1989,2357.14
4,1990,2558.14
4,1991,2000.0
4,1992,2659.57
4,1993,2500.0
4,1994,2666.67
4,1995,3384.62
4,1996,3277.78
4,1997,2857.14
4,1998,2736.87
4,1999,2842.85
4,2000,224.85
4,2001,217.12
4,2002,231.8
4,2003,229.56
4,2004,244.72
4,2005,244.72
4,2006,137.66
4,2007,133.19
4,2008,143.66
4,2009,248.51
4,2010,232.46
4,2011,657.17
4,2012,240.21
4,2013,237.88
4,2014,633.11
4,2015,224.31
5,1966,3285.71
5,1967,3666.67
5,1968,3625.0
5,1969,3117.65
5,1970,3400.0
5,1971,3250.0
5,1972,3062.5
5,1973,3333.33
5,1974,3133.33
5,1975,3133.33
5,1976,3266.67
5,1977,3500.0
5,1978,3285.71
5,1979,2000.0
5,1980,2769.23
5,1981,3200.0
5,1982,3000.0
5,1983,3666.67
5,1984,3666.67
5,1985,3500.0
5,1986,3375.0
5,1987,3285.71
5,1988,3428.57
5,1989,3222.22
5,1990,3214.29
5,1991,7179.49
5,1992,3200.0
5,1993,3392.86
5,1994,3666.67
5,1995,3666.67
5,1996,3111.11
5,1997,2818.18
5,1998,2875.0
5,1999,3254.9
5,2000,283.02
5,2001,285.71
5,2002,304.35
5,2003,280.7
5,2004,293.1
5,2005,293.1
5,2006,197.53
5,2007,208.33
5,2008,220.59
5,2009,245.9
5,2010,177.42
5,2011,571.43
5,2012,321.43
5,2013,300.0
5,2014,513.51
5,2015,312.6
6,1966,2833.33
6,1967,1800.0
6,1968,3000.0
6,1969,3571.43
6,1970,3428.57
6,1971,3000.0
6,1972,3142.86
6,1973,2142.86
6,1974,3166.67
6,1975,3000.0
6,1976,3142.86
6,1977,3166.67
6,1978,2800.0
6,1979,2000.0
6,1980,3333.33
6,1981,3200.0
6,1982,3000.0
6,1983,3000.0
6,1984,3000.0
6,1985,3750.0
6,1986,3400.0
6,1987,3250.0
6,1988,2500.0
6,1989,3000.0
6,1990,3333.33
6,1991,1506.85
6,1992,2647.06
6,1993,3428.57
6,1994,3333.33
6,1995,3250.0
6,1996,2857.14
6,1997,3469.39
6,1998,1345.79
6,1999,3316.67
6,2000,309.86
6,2001,320.39
6,2002,303.37
6,2003,315.79
6,2004,291.34
6,2005,291.34
6,2006,142.86
6,2007,168.67
6,2008,155.74
6,2009,242.04
6,2010,285.71
6,2011,597.01
6,2012,333.33
6,2013,288.32
6,2014,649.17
6,2015,317.28
7,1966,1750.0
7,1967,1750.0
7,1968,1800.0
7,1969,2200.0
7,1970,1833.33
7,1971,4333.33
7,1972,1833.33
7,1973,1833.33
7,1974,2000.0
7,1975,2600.0
7,1976,2400.0
7,1977,2666.67
7,1978,2000.0
7,1979,1666.67
7,1980,2000.0
7,1981,2000.0
7,1982,2500.0
7,1983,2500.0
7,1984,2000.0
7,1985,3000.0
7,1986,2000.0
7,1987,3000.0
7,1988,2000.0
7,1989,3000.0
7,1990,2857.14
7,1991,2222.22
7,1992,1428.57
7,1993,1666.67
7,1994,1000.0
7,1996,1000.0
7,1997,2500.0
7,1998,1285.71
7,1999,2000.0
7,2000,3000.0
7,2001,4000.0
7,2002,2500.0
7,2003,4000.0
7,2004,1692.31
7,2005,1224.49
7,2006,1098.9
7,2007,2416.67
7,2008,2600.0
7,2009,2571.43
7,2010,2750.0
7,2011,2600.0
7,2012,2956.52
7,2013,3077.78
7,2014,3000.0
7,2015,3666.67
8,1966,4571.43
8,1967,4647.06
8,1968,4750.0
8,1969,4869.57
8,1970,4714.29
8,1971,4850.0
8,1972,4850.0
8,1973,4714.29
8,1974,4545.45
8,1975,4791.67
8,1976,4600.0
8,1977,4555.56
8,1978,4541.67
8,1979,3400.0
8,1980,4333.33
8,1981,4588.24
8,1982,4428.57
8,1983,4875.0
8,1984,4727.27
8,1985,4818.18
8,1986,4818.18
8,1987,4521.74
8,1988,4200.0
8,1989,4466.67
8,1990,3655.17
8,1991,4110.43
8,1992,4122.81
8,1993,4545.45
8,1994,3571.43
8,1995,3800.0
8,1996,3550.0
8,1997,3750.0
8,1998,4111.11
8,1999,4461.54
8,2000,4111.11
8,2001,3900.0
8,2002,4500.0
8,2003,4000.0
8,2004,1923.57
8,2005,2303.03
8,2006,1618.5
8,2007,4100.0
8,2008,4875.0
