Dist Code,Year,yield_kg_ha
1,1966,454.55
1,1967,520.0
1,1968,558.66
1,1969,536.44
1,1970,656.11
1,1971,581.08
1,1972,520.2
1,1973,498.66
1,1974,613.7
1,1975,565.04
1,1976,213.22
1,1977,510.36
1,1978,525.67
1,1979,399.1
1,1980,761.9
1,1981,568.67
1,1982,581.51
1,1983,516.29
1,1984,491.36
1,1985,532.99
1,1986,648.65
1,1987,534.88
1,1988,462.24
1,1989,518.26
1,1990,685.08
1,1991,620.69
1,1992,365.42
1,1993,704.14
1,1994,805.48
1,1995,714.29
1,1996,803.87
1,1997,514.04
1,1998,621.62
1,2000,588.19
1,2001,702.43
1,2002,754.44
1,2003,778.78
1,2004,636.48
1,2005,636.48
1,2006,723.16
1,2007,921.03
1,2008,855.47
1,2009,898.09
1,2010,994.69
1,2011,1115.68
1,2012,1087.1
1,2013,1043.06
1,2014,1151.49
1,2015,1120.74
2,1966,500.0
2,1967,500.0
2,1968,434.78
2,1969,652.17
2,1970,791.67
2,1971,600.0
2,1972,629.63
2,1973,730.77
2,1974,833.33
2,1975,783.78
2,1976,666.67
2,1977,787.88
2,1978,933.33
2,1979,800.0
2,1980,1068.97
2,1981,1100.0
2,1982,1218.75
2,1983,931.03
2,1984,1071.43
2,1985,1000.0
2,1986,1000.0
2,1987,666.67
2,1988,1071.43
2,1989,1038.46
2,1990,1200.0
2,1991,1363.64
2,1992,1250.0
2,1993,1444.44
2,1994,1500.0
2,1995,1562.5
2,1996,1650.0
2,1997,1571.43
2,1998,1583.33
2,2000,1617.65
2,2001,1552.0
2,2002,1799.04
2,2003,1582.64
2,2004,1479.26
2,2005,1479.26
2,2006,1666.67
2,2007,1970.24
2,2008,1520.47
2,2009,1798.78
2,2010,2000.0
2,2011,1872.18
2,2012,1976.0
2,2013,1804.12
2,2014,2296.3
2,2015,2083.33
3,1966,333.33
3,1967,444.44
3,1968,421.05
3,1969,447.37
3,1970,607.59
3,1971,620.25
3,1972,500.0
3,1973,571.43
3,1974,562.96
3,1975,445.26
3,1976,396.23
3,1977,648.55
3,1978,1025.0
3,1979,714.29
3,1980,1149.7
