crop,model,R2_full,R2_env,drop
rice,LR,0.8073,0.5238,0.2835
rice,RF,0.8239,0.6466,0.1773
rice,XGB,0.821,0.5819,0.2391
wheat,LR,0.8251,0.613,0.2121
wheat,RF,0.8111,0.6869,0.1242
wheat,XGB,0.8129,0.6346,0.1783
maize,LR,0.7281,0.3151,0.413
maize,RF,0.6611,0.3848,0.2763
maize,XGB,0.6882,0.3829,0.3053
sorghum,LR,0.5087,-0.1562,0.6649
sorghum,RF,0.4229,0.2103,0.2126
sorghum,XGB,0.4258,0.1,0.3258
pearl_millet,LR,0.4905,-0.0194,0.5099
pearl_millet,RF,0.531,0.2501,0.2809
pearl_millet,XGB,0.448,0.2035,0.2445
chickpea,LR,0.4224,0.0538,0.3686
chickpea,RF,0.4232,0.2792,0.144
chickpea,XGB,0.4356,0.1319,0.3037
pigeonpea,LR,0.4478,-0.0063,0.4541
pigeonpea,RF,0.4581,0.235,0.2231
pigeonpea,XGB,0.4619,0.139,0.3229
groundnut,LR,0.5155,0.1865,0.329
groundnut,RF,0.5659,0.4198,0.1461
groundnut,XGB,0.4756,0.1705,0.3051
cotton,LR,0.4402,0.1214,0.3188
cotton,RF,0.4024,0.1797,0.2227
cotton,XGB,0.424,0.1189,0.3051
sugarcane,LR,0.655,0.1721,0.4829
sugarcane,RF,0.6527,0.5025,0.1502
sugarcane,XGB,0.673,0.3957,0.2773
