dataset,rows,cols,year_min,year_max,districts,NaN,sentinel_-1
crops,16146,80,1966,2017,311,0,13132
irr_crop,15943,25,1966,2020,311,0,37348
irr_source,16746,13,1966,2020,311,0,13508
rain_monthly,14527,18,1966,2015,313,0,2447
rain_normal,313,18,—,—,313,0,13
landuse,16909,16,1966,2020,310,0,3812
growing_period,313,6,—,—,313,0,31
soil,313,6,—,—,313,3,0
prices,15130,22,1966,2016,311,0,144502
temp_max,36890,17,1958,2023,602,0,4
temp_min,36890,17,1958,2023,602,0,4
fert_total,18662,20,1990,2020,602,0,66608
fert_season,18662,13,1990,2020,602,0,35116
