Dist Code,State Code,State Name,Dist Name,Year,CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),ANNUAL RAINFALL (Millimeters),KHARIF_RAIN_MM,RABI_RAIN_MM,CHICKPEA IRRIGATED AREA (1000 ha),CANALS AREA (1000 ha),TUBE WELLS AREA (1000 ha),TOTAL WELLS AREA (1000 ha),NET AREA (1000 ha),GROSS AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),KHARIF_TMAX,KHARIF_TMIN,RABI_TMAX,RABI_TMIN,ANNUAL_TMAX,ANNUAL_TMIN,DIURNAL_TEMP_RANGE,N_KG_PER_HA,P_KG_PER_HA,K_KG_PER_HA,NPK_TOTAL_KG_PER_HA,FERT_KHARIF_TONS,FERT_RABI_TONS,GROWING_PERIOD_DAYS,SOIL_TYPE_DOMINANT,ANNUAL NORMAL RAINFALL (Millimeters),CHICKPEA_STATE_PRICE,FERT_DATA_AVAILABLE
1,14,Chhattisgarh,Durg,1966,54.0,27.0,500.0,769.8,714.2,8.1,0.0,52.6,0.0,2.63,77.0,77.0,993.2,1082.4,108.98,32.4875,25.160000000000004,29.758,16.278000000000002,33.012499999999996,21.245833333333334,11.766666666666662,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,,0
1,14,Chhattisgarh,Durg,1967,52.0,15.0,288.46,1263.5,1152.0,37.6,0.0,90.2,0.0,3.07,104.8,104.8,1014.0,1297.4,127.95,32.065,24.625,29.74,16.082,32.63333333333333,20.878333333333334,11.754999999999999,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,88.19999999999999,0
1,14,Chhattisgarh,Durg,1968,51.3,23.0,448.34,1172.3,1052.5,87.5,0.0,106.2,0.0,2.16,127.5,129.1,1031.0,1337.6,129.74,31.939999999999998,24.695,28.869999999999997,15.466,32.12,20.5025,11.617499999999996,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,77.05000000000001,0
1,14,Chhattisgarh,Durg,1969,52.6,23.1,439.16,929.0,894.1,3.1,0.0,111.0,0.0,2.79,135.2,135.2,1035.0,1340.0,129.47,31.6475,24.36,29.742,16.130000000000003,32.68416666666667,21.020000000000003,11.664166666666667,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,99.85,0
1,14,Chhattisgarh,Durg,1970,53.3,32.6,611.63,1484.3,1403.0,45.9,0.0,113.1,0.0,3.03,134.2,135.8,1035.0,1383.0,133.62,31.1375,23.935000000000002,28.826,15.539999999999997,32.08,20.647499999999997,11.432500000000001,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,79.05000000000001,0
1,14,Chhattisgarh,Durg,1971,50.3,32.8,652.09,1387.3,1190.3,142.0,0.1,119.3,0.0,3.51,141.4,146.5,1041.0,1400.0,134.49,31.037499999999998,23.8125,28.35,15.174000000000001,31.480833333333333,20.055000000000003,11.42583333333333,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,90.80000000000001,0
1,14,Chhattisgarh,Durg,1972,52.3,32.6,623.33,1046.9,936.2,103.00000000000001,0.0,107.9,0.0,3.96,138.2,138.9,1042.0,1371.0,131.57,32.5975,25.115000000000002,29.088,15.597999999999999,32.67666666666667,20.979166666666668,11.697500000000002,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,125.69999999999999,0
1,14,Chhattisgarh,Durg,1973,56.4,32.4,574.47,1483.0,1260.2,222.0,0.0,103.7,0.0,3.95,138.8,153.2,1046.0,1414.0,135.18,31.9075,24.709999999999997,29.21,15.998000000000001,32.82750000000001,21.365,11.46250000000001,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,1174.0,0
1,14,Chhattisgarh,Durg,1974,54.9,41.0,746.81,584.9,553.3,31.6,0.0,66.0,0.14,6.25,96.5,96.5,1039.0,1165.0,112.13,32.235,24.925,28.588,15.136000000000001,32.410833333333336,20.895833333333332,11.515000000000004,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,179.7,0
1,14,Chhattisgarh,Durg,1975,58.3,30.2,518.01,1262.5,1086.3,172.2,0.0,97.0,0.1,5.65,122.8,134.7,1063.7,1381.7,129.9,31.46,24.175,28.274,15.002,32.13,20.603333333333335,11.526666666666667,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,124.6,0
1,14,Chhattisgarh,Durg,1976,52.5,13.4,255.24,938.0,936.8,1.0,0.0,113.3,0.69,8.01,147.0,152.3,1022.0,1272.0,124.46,31.8575,24.134999999999998,29.790000000000003,16.04,32.655833333333334,20.778333333333332,11.877500000000001,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,136.10000000000002,0
1,14,Chhattisgarh,Durg,1977,56.3,17.7,314.39,1042.6,993.7,32.6,0.1,117.2,0.42,8.39,168.2,174.8,1045.1,1389.0,132.91,31.8525,24.407500000000002,29.504,16.008000000000003,32.58166666666667,20.899166666666666,11.682500000000005,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,190.5,0
1,14,Chhattisgarh,Durg,1978,52.1,17.0,326.3,1129.1,1106.0,20.2,0.1,153.2,0.55,6.35,185.3,190.3,1051.0,1402.0,133.4,31.54,24.2275,28.979999999999997,15.738,32.240833333333335,20.710833333333333,11.530000000000001,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,190.2,0
1,14,Chhattisgarh,Durg,1979,65.3,15.7,240.43,859.9,828.8,31.1,0.1,155.2,1.88,10.61,196.9,204.9,1043.0,1242.0,119.08,32.879999999999995,25.0125,29.848000000000003,16.461999999999996,32.973333333333336,21.11666666666667,11.856666666666666,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,218.65,0
1,14,Chhattisgarh,Durg,1980,54.2,18.0,332.1,1357.3,1327.1,20.9,0.1,140.5,0.55,7.95,176.0,196.5,1041.9,1379.6,132.41,31.8025,24.1875,29.907999999999998,16.401999999999997,32.95250000000001,21.2625,11.690000000000008,15.54,7.7,2.53,25.76,1669.0,4366.0,164.0,LOAMY,1277.0,304.55,0
