Dist Code,State Code,State Name,Dist Name,Year,COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),ANNUAL RAINFALL (Millimeters),KHARIF_RAIN_MM,RABI_RAIN_MM,COTTON IRRIGATED AREA (1000 ha),CANALS AREA (1000 ha),TUBE WELLS AREA (1000 ha),TOTAL WELLS AREA (1000 ha),NET AREA (1000 ha),GROSS AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),KHARIF_TMAX,KHARIF_TMIN,RABI_TMAX,RABI_TMIN,ANNUAL_TMAX,ANNUAL_TMIN,DIURNAL_TEMP_RANGE,N_KG_PER_HA,P_KG_PER_HA,K_KG_PER_HA,NPK_TOTAL_KG_PER_HA,FERT_KHARIF_TONS,FERT_RABI_TONS,GROWING_PERIOD_DAYS,SOIL_TYPE_DOMINANT,ANNUAL NORMAL RAINFALL (Millimeters),COTTON_STATE_PRICE,FERT_DATA_AVAILABLE
1,14,Chhattisgarh,Durg,2002,0.02,0.01,500.0,1092.1,732.4,50.0,0.0,162.84,58.08,66.19,264.99,300.77,1032.39,1283.3,124.3,32.3175,24.8775,29.887999999999998,16.498,33.11333333333334,21.50833333333333,11.605000000000008,27.41,13.71,6.12,47.25,1104.0,3455.0,164.0,LOAMY,1277.0,,1
1,14,Chhattisgarh,Durg,2003,0.07,0.05,714.29,,,,0.0,173.33,54.24,61.6,267.95,311.63,1038.52,1379.58,132.84,32.5675,25.130000000000003,29.49,16.11,33.00666666666667,21.406666666666666,11.600000000000001,27.13,11.63,4.96,43.73,1249.0,3834.0,164.0,LOAMY,1277.0,,1
1,14,Chhattisgarh,Durg,2004,0.41,0.21,512.2,997.9,984.6,13.3,0.0,187.88,74.83,81.37,307.95,366.27,1039.53,1416.16,136.23,32.0075,24.565,28.82,15.434000000000001,32.42583333333334,20.820833333333336,11.605,37.43,17.5,7.31,62.25,3287.0,10264.0,164.0,LOAMY,1277.0,,1
1,14,Chhattisgarh,Durg,2006,0.19,0.05,263.16,886.4,792.2,4.4,0.0,192.2,96.69,102.39,327.54,408.76,1039.95,1433.76,137.87,32.2575,24.8125,30.324,16.936,32.850833333333334,21.245,11.605833333333333,51.15,22.07,10.55,83.77,4055.0,11809.0,164.0,LOAMY,1277.0,,1
1,14,Chhattisgarh,Durg,2007,0.04,0.01,250.0,1068.5,1058.8999999999999,7.8,0.0,202.76,99.57,104.48,343.0,437.49,1038.2,1444.62,139.15,32.347500000000004,24.9025,29.514,16.128,32.8325,21.227500000000003,11.605,47.41,22.47,11.0,80.89,4678.0,14567.0,164.0,LOAMY,1277.0,,1
1,14,Chhattisgarh,Durg,2008,0.01,0.01,1000.0,904.8,898.0,0.0,0.0,179.87,116.15,120.68,332.59,435.93,1031.64,1391.09,134.84,32.115,24.675,29.686,16.3,32.83583333333333,21.231666666666666,11.604166666666668,45.34,29.21,16.68,91.24,5490.0,15713.0,164.0,LOAMY,1277.0,,1
1,14,Chhattisgarh,Durg,2011,0.08,0.02,250.0,1282.3,1172.8,27.7,0.08,192.08,143.04,146.62,346.08,481.57,1030.41,1409.94,136.83,32.2,24.7625,29.442,16.056,32.59166666666667,20.989166666666666,11.602500000000003,247.91,147.85,45.19,440.94,8876.0,26018.0,164.0,LOAMY,1277.0,,1
1,14,Chhattisgarh,Durg,2012,0.13,0.02,153.85,1092.1,1009.3,56.400000000000006,0.1,195.14,153.83,157.15,372.6,506.04,1029.07,1415.98,137.6,32.54,25.1,29.344,15.968,32.90333333333333,21.30333333333333,11.599999999999998,89.77,55.05,17.07,161.89,3412.0,6284.0,164.0,LOAMY,1277.0,,1
1,14,Chhattisgarh,Durg,2013,0.05,0.01,200.0,1568.0,1360.1000000000001,190.7,0.04,197.4,161.84,165.15,381.39,535.27,1030.52,1431.3,138.89,31.44,24.047500000000003,29.363999999999997,15.984,32.524166666666666,20.938333333333336,11.58583333333333,96.42,40.59,14.83,151.84,2585.0,8018.0,164.0,LOAMY,1277.0,,1
1,14,Chhattisgarh,Durg,2014,0.05,0.02,400.0,1379.7,1133.4,150.9,0.03,186.58,196.67,199.21,401.8,548.91,1026.15,1438.76,140.21,33.050000000000004,25.6575,30.157999999999998,16.714,33.12,21.492500000000003,11.627499999999994,102.96,61.63,27.35,191.94,4540.0,12788.0,164.0,LOAMY,1277.0,,1
1,14,Chhattisgarh,Durg,2015,0.05,0.01,200.0,1008.7,888.2,14.9,0.04,112.18,103.18,107.9,237.61,320.33,1030.0,1438.03,139.61,32.3525,25.6575,30.266000000000002,17.48,32.91833333333333,21.811666666666667,11.106666666666662,131.4,53.09,25.05,209.54,4123.0,9751.0,164.0,LOAMY,1277.0,,1
2,14,Chhattisgarh,Bastar,2000,0.06,0.01,166.67,,,,0.0,2.36,0.03,1.335,22.02,22.02,,,,29.1475,22.057499999999997,29.176,15.134,31.004166666666666,19.228333333333335,11.775833333333331,11.45,3.0,1.07,15.52,6.0,116.0,194.0,LOAMY,1535.0,,1
2,14,Chhattisgarh,Bastar,2001,0.09,0.02,222.22,,,,0.0,3.08,0.03,1.335,25.12,26.17,,,,28.9225,21.8275,29.040000000000003,14.984,30.80333333333333,18.99583333333333,11.807500000000001,7.27,3.15,1.12,11.54,163.0,414.0,194.0,LOAMY,1535.0,,1
