crop,category,n,cv%,autocorr_lag1,irr_median,best_r2,best_model,env_r2,r2_drop
rice,kharif,14416,55.87051607982333,0.9018010976956156,0.4210912293364101,0.8324,Stack,0.6466,0.18580000000000008
wheat,rabi,13213,54.03825617843192,0.9141834327872619,0.7999999999999999,0.8251,LR,0.6869,0.1382
maize,kharif,13576,68.78223119236978,0.8301221299976633,0.04687499999999999,0.7468,Lasso,0.3848,0.36200000000000004
sorghum,kharif,11135,56.332693006828315,0.7279707719278519,0.0,0.5521,Lasso,0.2103,0.34180000000000005
pearl_millet,kharif,9577,61.465148309752024,0.7452877208927566,0.00018021265092809516,0.5865,Lasso,0.2501,0.33640000000000003
chickpea,rabi,13310,45.17991439065837,0.6711876382350861,0.0625,0.4395,Blend,0.2792,0.1603
pigeonpea,kharif,12505,54.907248648315274,0.667652659596489,0.0,0.4779,Stack,0.235,0.2429
groundnut,kharif,11566,47.36951020110761,0.6900963719398041,0.03225806451612903,0.5694,Stack,0.4198,0.1496
cotton,kharif,7501,72.6097215879033,0.6585616504070706,0.20937516124039007,0.441,Ridge,0.1797,0.2613
sugarcane,annual,13037,50.13547824225002,0.8536764997574071,0.9983471074380166,0.6762,LGBM,0.5025,0.17370000000000008
