R²,RMSE,MAE,MAPE%,rRMSE%,EVS,±10%,±20%,d,crop,model
0.8324,397.2,272.9,20.0,18.7,0.8325,52.6,74.3,0.9543,rice,Stack
0.8251,439.8,321.7,16.9,19.0,0.832,45.6,74.9,0.9485,wheat,LR
0.7468,761.1,507.8,29.7,33.4,0.7503,29.9,55.1,0.9113,maize,Lasso
0.5521,376.0,253.4,32.4,34.9,0.5639,31.3,55.0,0.8199,sorghum,Lasso
0.5865,403.2,289.0,35.7,33.1,0.6108,27.1,51.5,0.8355,pearl_millet,Lasso
0.4395,265.7,193.0,26.0,29.1,0.4501,33.9,59.2,0.766,chickpea,Blend
0.4779,281.3,194.0,33.8,34.8,0.4779,31.8,53.6,0.8093,pigeonpea,Stack
0.5694,404.4,281.2,25.3,30.6,0.6171,30.2,57.7,0.8378,groundnut,Stack
0.441,152.4,108.5,46.2,41.5,0.4531,21.8,42.8,0.754,cotton,Ridge
0.6762,1549.1,950.1,28.0,26.2,0.6801,47.3,70.4,0.8979,sugarcane,LGBM
