crop,rival,xgb_r2,rival_r2,mean_delta,ci_low,ci_high,verdict
rice,Stack,0.821,0.8324,-0.0114,-0.0184,-0.0043,Rival better
rice,Blend,0.821,0.8267,-0.0056,-0.0095,-0.002,Rival better
rice,RF,0.821,0.8239,-0.0028,-0.0091,0.0036,Equivalent
rice,LGBM,0.821,0.8233,-0.0023,-0.0047,0.0001,Equivalent
rice,Lasso,0.821,0.8134,0.0077,0.0002,0.0155,XGB better
rice,Ridge,0.821,0.8075,0.0137,0.005,0.0237,XGB better
rice,ElasticNet,0.821,0.8074,0.0138,0.0053,0.0233,XGB better
rice,LR,0.821,0.8073,0.0139,0.0053,0.0235,XGB better
rice,SVR,0.821,0.3073,0.5149,0.446,0.5944,XGB better
rice,Mean,0.821,-0.5053,1.3286,1.1951,1.4821,XGB better
wheat,Stack,0.8129,0.8161,-0.0029,-0.0084,0.0035,Equivalent
wheat,Blend,0.8129,0.8154,-0.0026,-0.0042,-0.0009,Rival better
wheat,RF,0.8129,0.8111,0.0017,-0.002,0.0057,Equivalent
wheat,LGBM,0.8129,0.8144,-0.0015,-0.0033,0.0003,Equivalent
wheat,Lasso,0.8129,0.8251,-0.0123,-0.0186,-0.0061,Rival better
wheat,Ridge,0.8129,0.8251,-0.0123,-0.0186,-0.0061,Rival better
wheat,ElasticNet,0.8129,0.8248,-0.0119,-0.0182,-0.0059,Rival better
wheat,LR,0.8129,0.8251,-0.0123,-0.0186,-0.0061,Rival better
wheat,SVR,0.8129,0.4085,0.4031,0.3345,0.4798,XGB better
wheat,Mean,0.8129,-0.5,1.3133,1.1819,1.4536,XGB better
maize,Stack,0.6882,0.7248,-0.036,-0.0455,-0.0255,Rival better
maize,Blend,0.6882,0.7026,-0.0142,-0.0206,-0.0076,Rival better
maize,RF,0.6882,0.6611,0.0273,0.0106,0.0436,XGB better
maize,LGBM,0.6882,0.7026,-0.0142,-0.0206,-0.0076,Rival better
maize,Lasso,0.6882,0.7468,-0.0578,-0.0777,-0.0391,Rival better
maize,Ridge,0.6882,0.7393,-0.05,-0.0705,-0.0306,Rival better
maize,ElasticNet,0.6882,0.7281,-0.0389,-0.0585,-0.0206,Rival better
maize,LR,0.6882,0.7281,-0.039,-0.0584,-0.0206,Rival better
maize,SVR,0.6882,0.0008,0.6848,0.5934,0.7657,XGB better
maize,Mean,0.6882,-0.3682,1.0581,0.9742,1.1455,XGB better
sorghum,Stack,0.4258,0.4473,-0.0212,-0.0309,-0.0114,Rival better
sorghum,Blend,0.4258,0.4368,-0.0114,-0.0243,0.0039,Equivalent
sorghum,RF,0.4258,0.4229,0.0019,-0.0136,0.0141,Equivalent
sorghum,LGBM,0.4258,0.4366,-0.0112,-0.0256,0.0059,Equivalent
sorghum,Lasso,0.4258,0.5521,-0.1185,-0.2132,-0.0316,Rival better
sorghum,Ridge,0.4258,0.5087,-0.074,-0.1767,0.0229,Equivalent
sorghum,ElasticNet,0.4258,0.5173,-0.0832,-0.1796,0.0071,Equivalent
sorghum,LR,0.4258,0.5087,-0.074,-0.1767,0.0229,Equivalent
sorghum,SVR,0.4258,-0.0464,0.4679,0.3846,0.5366,XGB better
sorghum,Mean,0.4258,-0.359,0.7916,0.691,0.9038,XGB better
pearl_millet,Stack,0.448,0.5464,-0.0987,-0.1211,-0.076,Rival better
pearl_millet,Blend,0.448,0.531,-0.0833,-0.1029,-0.0633,Rival better
pearl_millet,RF,0.448,0.531,-0.0833,-0.1029,-0.0633,Rival better
pearl_millet,LGBM,0.448,0.4553,-0.0072,-0.0153,0.0011,Equivalent
pearl_millet,Lasso,0.448,0.5865,-0.1394,-0.1762,-0.1024,Rival better
pearl_millet,Ridge,0.448,0.5177,-0.07,-0.1043,-0.035,Rival better
pearl_millet,ElasticNet,0.448,0.5181,-0.0705,-0.1015,-0.0393,Rival better
pearl_millet,LR,0.448,0.4905,-0.0427,-0.0771,-0.0083,Rival better
pearl_millet,SVR,0.448,-0.0137,0.4625,0.3895,0.5395,XGB better
pearl_millet,Mean,0.448,-0.6133,1.0651,0.9447,1.2023,XGB better
chickpea,Stack,0.4356,0.434,0.0017,-0.0026,0.006,Equivalent
chickpea,Blend,0.4356,0.4395,-0.0039,-0.0089,0.0005,Equivalent
chickpea,RF,0.4356,0.4232,0.0126,-0.0005,0.0261,Equivalent
chickpea,LGBM,0.4356,0.4368,-0.0013,-0.008,0.005,Equivalent
chickpea,Lasso,0.4356,0.4297,0.0059,-0.018,0.026,Equivalent
chickpea,Ridge,0.4356,0.4261,0.0099,-0.0153,0.0321,Equivalent
chickpea,ElasticNet,0.4356,0.4214,0.0147,-0.0108,0.037,Equivalent
chickpea,LR,0.4356,0.4224,0.0136,-0.0113,0.0357,Equivalent
chickpea,SVR,0.4356,0.0447,0.39,0.289,0.4896,XGB better
chickpea,Mean,0.4356,-0.4964,0.9329,0.8136,1.0571,XGB better
pigeonpea,Stack,0.4619,0.4779,-0.015,-0.032,0.0049,Equivalent
pigeonpea,Blend,0.4619,0.4692,-0.0071,-0.0137,-0.0008,Rival better
pigeonpea,RF,0.4619,0.4581,0.0039,-0.0045,0.0123,Equivalent
pigeonpea,LGBM,0.4619,0.4674,-0.0052,-0.0131,0.003,Equivalent
pigeonpea,Lasso,0.4619,0.459,0.0038,-0.0151,0.0261,Equivalent
pigeonpea,Ridge,0.4619,0.4593,0.0033,-0.0155,0.0249,Equivalent
pigeonpea,ElasticNet,0.4619,0.4593,0.0034,-0.0146,0.0237,Equivalent
pigeonpea,LR,0.4619,0.4478,0.0152,-0.0081,0.0418,Equivalent
pigeonpea,SVR,0.4619,0.2674,0.1928,0.1496,0.2378,XGB better
pigeonpea,Mean,0.4619,-0.0313,0.4924,0.4303,0.5476,XGB better
groundnut,Stack,0.4756,0.5694,-0.0934,-0.1134,-0.0724,Rival better
groundnut,Blend,0.4756,0.5659,-0.0899,-0.1092,-0.0689,Rival better
groundnut,RF,0.4756,0.5659,-0.0899,-0.1092,-0.0689,Rival better
