model,R2,RMSE,MAE
rice — Mean,-0.5053,1190.5,954.4
rice — LR,0.8073,426.0,307.6
rice — Ridge,0.8075,425.8,307.2
rice — SVR,0.3073,807.6,602.2
wheat — Mean,-0.5,1287.9,992.5
wheat — LR,0.8251,439.8,321.7
wheat — Ridge,0.8251,439.8,321.7
wheat — SVR,0.4085,808.8,598.6
maize — Mean,-0.3682,1769.5,1144.9
maize — LR,0.7281,788.8,516.2
maize — Ridge,0.7393,772.4,509.9
maize — SVR,0.0008,1512.1,913.8
sorghum — Mean,-0.359,654.9,443.3
sorghum — LR,0.5087,393.7,270.7
sorghum — Ridge,0.5087,393.7,270.7
sorghum — SVR,-0.0464,574.7,353.5
pearl_millet — Mean,-0.6133,796.5,601.2
pearl_millet — LR,0.4905,447.6,322.1
pearl_millet — Ridge,0.5177,435.5,312.1
pearl_millet — SVR,-0.0137,631.4,443.1
chickpea — Mean,-0.4964,434.1,327.8
chickpea — LR,0.4224,269.7,197.0
chickpea — Ridge,0.4261,268.8,196.0
chickpea — SVR,0.0447,346.8,250.0
pigeonpea — Mean,-0.0313,395.3,286.3
pigeonpea — LR,0.4478,289.3,205.2
pigeonpea — Ridge,0.4593,286.2,200.4
pigeonpea — SVR,0.2674,333.2,232.2
groundnut — Mean,-0.426,736.0,530.8
groundnut — LR,0.5155,429.0,302.7
groundnut — Ridge,0.5154,429.0,302.7
groundnut — SVR,0.0881,588.5,399.5
cotton — Mean,-0.5425,253.2,189.2
cotton — LR,0.4402,152.5,108.5
cotton — Ridge,0.441,152.4,108.5
cotton — SVR,0.1789,184.7,132.1
sugarcane — Mean,-0.0704,2816.3,2167.0
sugarcane — LR,0.655,1599.0,1031.3
sugarcane — Ridge,0.655,1599.0,1031.3
sugarcane — SVR,0.2784,2312.4,1671.8
rice — Lasso,0.8134,419.2,301.9
rice — ElasticNet,0.8074,425.9,307.7
wheat — Lasso,0.8251,439.8,321.8
wheat — ElasticNet,0.8248,440.2,322.3
maize — Lasso,0.7468,761.1,507.8
maize — ElasticNet,0.7281,788.8,516.7
sorghum — Lasso,0.5521,376.0,253.4
sorghum — ElasticNet,0.5173,390.3,267.0
pearl_millet — Lasso,0.5865,403.2,289.0
pearl_millet — ElasticNet,0.5181,435.3,315.1
chickpea — Lasso,0.4297,268.0,196.8
chickpea — ElasticNet,0.4214,269.9,197.2
pigeonpea — Lasso,0.459,286.3,200.9
pigeonpea — ElasticNet,0.4593,286.2,201.0
groundnut — Lasso,0.556,410.7,292.4
groundnut — ElasticNet,0.5364,419.6,296.1
cotton — Lasso,0.4403,152.5,108.5
cotton — ElasticNet,0.4397,152.6,108.6
sugarcane — Lasso,0.6675,1569.7,978.7
sugarcane — ElasticNet,0.6547,1599.7,1035.3
rice — RF,0.8239,407.2,289.0
rice — XGB,0.821,410.6,288.1
rice — LGBM,0.8233,407.9,285.7
wheat — RF,0.8111,457.0,329.1
wheat — XGB,0.8129,454.8,327.1
wheat — LGBM,0.8144,453.0,325.5
maize — RF,0.6611,880.6,555.4
maize — XGB,0.6882,844.7,533.8
maize — LGBM,0.7026,824.9,526.8
sorghum — RF,0.4229,426.7,264.1
sorghum — XGB,0.4258,425.7,267.1
sorghum — LGBM,0.4366,421.6,259.9
pearl_millet — RF,0.531,429.4,300.8
pearl_millet — XGB,0.448,465.9,327.0
pearl_millet — LGBM,0.4553,462.8,327.4
chickpea — RF,0.4232,269.5,194.3
chickpea — XGB,0.4356,266.6,194.5
chickpea — LGBM,0.4368,266.3,193.9
pigeonpea — RF,0.4581,286.6,197.5
pigeonpea — XGB,0.4619,285.5,198.2
pigeonpea — LGBM,0.4674,284.1,195.9
groundnut — RF,0.5659,406.1,281.9
groundnut — XGB,0.4756,446.3,310.7
groundnut — LGBM,0.4449,459.2,327.5
cotton — RF,0.4024,157.6,107.9
cotton — XGB,0.424,154.7,106.9
cotton — LGBM,0.4013,157.7,109.3
sugarcane — RF,0.6527,1604.2,991.5
sugarcane — XGB,0.673,1556.7,961.5
sugarcane — LGBM,0.6762,1549.1,950.1
rice — Stack,0.8324,397.2,272.9
rice — Blend,0.8267,404.0,284.0
wheat — Stack,0.8161,451.0,308.4
wheat — Blend,0.8154,451.8,324.4
maize — Stack,0.7248,793.6,507.1
maize — Blend,0.7026,824.9,526.8
sorghum — Stack,0.4473,417.6,263.8
sorghum — Blend,0.4368,421.6,260.0
pearl_millet — Stack,0.5464,422.3,296.7
pearl_millet — Blend,0.531,429.4,300.8
chickpea — Stack,0.434,267.0,193.8
chickpea — Blend,0.4395,265.7,193.0
pigeonpea — Stack,0.4779,281.3,194.0
pigeonpea — Blend,0.4692,283.6,195.1
groundnut — Stack,0.5694,404.4,281.2
groundnut — Blend,0.5659,406.1,281.9
cotton — Stack,0.413,156.2,106.2
cotton — Blend,0.4245,154.7,106.8
sugarcane — Stack,0.6388,1636.1,1044.5
sugarcane — Blend,0.6762,1549.1,950.1
