"Dist Code","Year","State Code","State Name","Dist Name","TOTAL AREA (1000 ha)","FOREST AREA (1000 ha)","BARREN AND UNCULTIVABLE LAND AREA (1000 ha)","LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha)","CULTIVABLE WASTE LAND AREA (1000 ha)","PERMANENT PASTURES AREA (1000 ha)","OTHER FALLOW AREA (1000 ha)","CURRENT FALLOW AREA (1000 ha)","NET CROPPED AREA (1000 ha)","GROSS CROPPED AREA (1000 ha)","CROPING INTENSITY (Percent)"
"1","1966","14","Chhattisgarh","Durg","1946.2","503.1","31.9","107.0","38.7","145.7","49.8","76.1","993.2","1082.4","108.98"
"1","1967","14","Chhattisgarh","Durg","1946.2","502.9","33.2","107.1","36.7","143.1","52.0","56.8","1014.0","1297.4","127.95"
"1","1968","14","Chhattisgarh","Durg","1946.2","501.2","34.1","110.2","36.7","141.6","45.1","45.9","1031.0","1337.6","129.74"
"1","1969","14","Chhattisgarh","Durg","1946.2","500.0","35.9","109.6","35.0","142.3","42.0","46.0","1035.0","1340.0","129.47"
"1","1970","14","Chhattisgarh","Durg","1946.2","498.9","34.3","113.0","33.1","141.7","44.5","45.9","1035.0","1383.0","133.62"
"1","1971","14","Chhattisgarh","Durg","1946.3","497.3","38.3","108.7","33.3","141.5","44.5","41.1","1041.0","1400.0","134.49"
"1","1972","14","Chhattisgarh","Durg","1950.8","501.7","35.9","109.2","34.2","143.9","42.4","41.5","1042.0","1371.0","131.57"
"1","1973","14","Chhattisgarh","Durg","1950.9","501.3","34.4","110.7","34.4","143.1","40.4","39.5","1046.0","1414.0","135.18"
"1","1974","14","Chhattisgarh","Durg","1951.3","503.9","35.5","111.7","34.2","139.8","39.5","52.8","1039.0","1165.0","112.13"
"1","1975","14","Chhattisgarh","Durg","2061.7","608.2","28.9","113.7","35.2","141.0","36.8","44.1","1063.7","1381.7","129.9"
"1","1976","14","Chhattisgarh","Durg","2061.7","606.8","28.5","113.3","39.5","135.9","39.9","75.0","1022.0","1272.0","124.46"
"1","1977","14","Chhattisgarh","Durg","2084.0","618.2","32.9","116.5","39.7","132.7","45.5","53.3","1045.1","1389.0","132.91"
"1","1978","14","Chhattisgarh","Durg","1967.7","493.1","30.3","117.6","36.7","145.6","46.0","47.4","1051.0","1402.0","133.4"
"1","1979","14","Chhattisgarh","Durg","1980.6","492.0","28.0","127.1","42.4","145.6","48.5","53.7","1043.0","1242.0","119.08"
"1","1980","14","Chhattisgarh","Durg","1980.6","491.6","34.1","124.0","46.7","140.2","49.8","52.0","1041.9","1379.6","132.41"
"1","1981","14","Chhattisgarh","Durg","1980.6","491.8","32.3","121.4","46.5","144.4","48.3","46.3","1049.6","1285.7","122.49"
"1","1982","14","Chhattisgarh","Durg","1980.6","489.8","31.0","125.2","44.8","145.0","45.7","43.3","1055.5","1381.9","130.92"
"1","1983","14","Chhattisgarh","Durg","1980.6","489.7","32.0","123.6","44.7","144.9","43.6","42.1","1059.8","1427.2","134.67"
"1","1984","14","Chhattisgarh","Durg","1980.6","488.9","34.0","132.6","45.5","134.8","41.1","44.6","1058.9","1396.7","131.9"
"1","1985","14","Chhattisgarh","Durg","1980.6","488.6","34.6","127.1","37.8","139.8","40.1","40.7","1063.5","1444.7","135.84"
"1","1986","14","Chhattisgarh","Durg","1980.2","499.4","32.2","131.8","37.8","138.4","42.1","49.2","1051.2","1310.0","124.62"
"1","1987","14","Chhattisgarh","Durg","1981.4","489.5","30.6","136.4","32.8","145.0","42.5","45.6","1052.8","1320.8","125.46"
"1","1988","14","Chhattisgarh","Durg","1981.4","489.5","30.6","136.4","32.8","145.0","42.5","45.6","1038.6","1254.2","120.76"
"1","1989","14","Chhattisgarh","Durg","1981.5","491.3","51.0","121.2","43.1","135.3","51.7","47.3","1040.4","1259.3","121.04"
"1","1990","14","Chhattisgarh","Durg","1624.59","133.96","43.21","126.42","39.26","132.53","44.24","49.98","1035.69","1361.09","131.42"
"1","1991","14","Chhattisgarh","Durg","1977.29","485.79","27.69","139.89","37.59","138.59","44.59","47.49","1036.39","1352.39","130.49"
"1","1992","14","Chhattisgarh","Durg","1977.19","486.69","29.59","142.19","39.99","133.29","44.79","43.69","1037.89","1357.69","130.81"
"1","1993","14","Chhattisgarh","Durg","1902.26","410.73","28.38","143.21","39.59","134.9","42.39","39.19","1044.89","1417.39","135.65"
"1","1994","14","Chhattisgarh","Durg","1902.28","410.61","32.05","141.54","40.14","132.15","41.67","38.14","1046.77","1451.25","138.64"
"1","1995","14","Chhattisgarh","Durg","1977.17","410.91","32.65","137.95","42.62","135.12","39.57","35.03","1048.54","1455.71","138.83"
"1","1996","14","Chhattisgarh","Durg","1902.26","410.77","32.25","139.23","40.1","134.48","38.74","36.16","1050.72","1427.29","135.84"
"1","1997","14","Chhattisgarh","Durg","1902.26","410.63","34.59","140.07","38.81","132.97","37.56","35.38","1052.61","1426.93","135.56"
"1","1998","14","Chhattisgarh","Durg","1951.45","458.94","34.31","141.47","41.31","134.18","40.96","43.88","1042.11","1340.24","128.61"
"1","1999","14","Chhattisgarh","Durg","1951.45","459.57","34.44","142.73","39.81","133.57","41.02","40.4","1045.72","1416.12","135.42"
"1","2000","14","Chhattisgarh","Durg","1983.7","491.04","34.99","143.21","41.0","132.88","43.42","59.43","1023.38","1210.93","118.33"
"1","2001","14","Chhattisgarh","Durg","1983.7","491.16","33.79","144.93","42.28","131.52","45.25","44.66","1035.78","1341.98","129.56"
"1","2002","14","Chhattisgarh","Durg","1986.17","491.39","111.64","67.14","42.73","133.51","44.98","47.61","1032.39","1283.3","124.3"
"1","2003","14","Chhattisgarh","Durg","1986.17","491.53","34.14","146.27","43.1","133.3","43.94","40.97","1038.52","1379.58","132.84"
"1","2004","14","Chhattisgarh","Durg","1986.17","491.58","36.55","145.12","42.36","132.79","43.57","40.15","1039.53","1416.16","136.23"
"1","2005","14","Chhattisgarh","Durg","1986.17","491.48","37.88","143.34","43.66","133.77","42.1","37.94","1041.71","1435.08","137.76"
"1","2006","14","Chhattisgarh","Durg","1986.17","491.4","36.8","144.83","43.55","134.56","41.96","38.81","1039.95","1433.76","137.87"
"1","2007","14","Chhattisgarh","Durg","1986.17","491.4","36.72","146.54","45.51","133.46","41.89","38.16","1038.2","1444.62","139.15"
"1","2008","14","Chhattisgarh","Durg","1986.17","491.22","34.2","149.43","45.55","134.47","43.47","41.89","1031.64","1391.09","134.84"
"1","2009","14","Chhattisgarh","Durg","1986.17","490.88","35.2","149.18","46.54","134.93","45.31","42.98","1026.77","1361.03","132.55"
"1","2010","14","Chhattisgarh","Durg","1986.17","491.36","36.29","148.17","48.77","134.03","48.05","38.42","1026.61","1403.63","136.73"
"1","2011","14","Chhattisgarh","Durg","1988.17","493.3","37.58","151.32","50.33","135.62","47.15","41.93","1030.41","1409.94","136.83"
"1","2012","14","Chhattisgarh","Durg","1988.17","493.28","35.36","153.7","50.47","137.65","47.44","40.82","1029.07","1415.98","137.6"
"1","2013","14","Chhattisgarh","Durg","1639.34","142.45","34.94","153.26","52.36","137.99","46.51","40.78","1030.52","1431.3","138.89"
"1","2014","14","Chhattisgarh","Durg","1640.28","143.14","34.74","155.01","53.55","137.47","48.37","41.44","1026.15","1438.76","140.21"
"1","2015","14","Chhattisgarh","Durg","1640.28","143.12","35.15","155.51","53.48","137.15","47.19","38.36","1030.0","1438.03","139.61"
"1","2016","14","Chhattisgarh","Durg","1988.17","488.91","34.19","155.72","52.76","137.37","44.04","34.67","1038.21","1467.94","141.39"
"1","2017","14","Chhattisgarh","Durg","1988.17","489.42","33.13","156.53","51.21","136.35","40.01","30.72","1048.51","1452.98","138.58"
"1","2018","14","Chhattisgarh","Durg","1988.17","491.44","32.76","154.48","42.78","138.39","34.51","28.9","1061.88","1503.0","141.54"
"1","2019","14","Chhattisgarh","Durg","1988.17","491.44","33.45","154.67","43.15","136.78","36.31","35.69","1053.7","1614.97","153.27"
"1","2020","14","Chhattisgarh","Durg","1988.17","488.98","33.67","156.94","40.65","137.24","37.97","37.46","1053.67","1607.52","152.56"
"3","1966","14","Chhattisgarh","Raipur","2122.4","825.1","21.2","102.3","80.8","136.7","44.5","55.4","856.4","969.4","113.19"
"3","1967","14","Chhattisgarh","Raipur","2122.4","820.5","21.9","108.7","71.5","139.7","41.1","40.7","878.4","1097.2","124.91"
"3","1968","14","Chhattisgarh","Raipur","2122.4","815.3","22.1","115.0","63.7","143.4","38.2","35.4","889.3","1124.2","126.41"
"3","1969","14","Chhattisgarh","Raipur","2123.2","812.8","21.8","114.2","65.0","143.8","38.0","40.0","888.0","1101.0","123.99"
"3","1970","14","Chhattisgarh","Raipur","2123.2","810.9","23.3","113.2","65.0","143.0","37.0","35.0","896.0","1158.0","129.24"
"3","1971","14","Chhattisgarh","Raipur","2123.0","913.0","22.0","110.0","66.0","142.7","34.0","33.0","902.0","1180.0","130.82"
"3","1972","14","Chhattisgarh","Raipur","2123.0","808.0","22.0","109.0","65.0","147.4","34.0","32.0","906.0","1198.0","132.23"
"3","1973","14","Chhattisgarh","Raipur","2124.0","798.0","22.0","109.0","66.0","151.8","32.0","30.0","915.0","1234.0","134.86"
"3","1974","14","Chhattisgarh","Raipur","2124.0","798.0","22.0","109.0","66.0","150.3","39.0","33.0","907.0","1035.0","114.11"
"3","1975","14","Chhattisgarh","Raipur","2224.6","885.0","22.0","113.0","65.0","153.0","30.0","34.0","922.0","1231.7","133.59"
"3","1976","14","Chhattisgarh","Raipur","2127.0","784.0","20.0","121.0","63.0","155.0","43.0","31.0","910.0","1181.0","129.78"
"3","1977","14","Chhattisgarh","Raipur","2130.0","786.1","21.0","122.0","56.0","156.0","33.0","35.0","921.8","1233.3","133.79"
"3","1978","14","Chhattisgarh","Raipur","2127.3","782.5","22.0","121.1","51.1","157.5","31.6","32.7","929.0","1242.0","133.69"
"3","1979","14","Chhattisgarh","Raipur","2127.3","784.9","21.9","126.6","47.4","153.5","34.7","43.1","915.3","1125.2","122.93"
"3","1980","14","Chhattisgarh","Raipur","2127.3","776.0","21.8","128.9","56.3","151.6","38.2","38.1","916.3","1216.0","132.71"
"3","1981","14","Chhattisgarh","Raipur","2127.3","774.3","21.8","129.9","48.4","150.7","38.9","35.9","925.9","1237.4","133.64"
"3","1982","14","Chhattisgarh","Raipur","2127.3","776.3","22.2","131.8","48.3","147.2","38.5","32.0","930.1","1223.6","131.56"
"3","1983","14","Chhattisgarh","Raipur","2127.3","776.5","22.5","134.1","47.4","145.6","36.4","28.6","936.2","1234.6","131.87"
"3","1984","14","Chhattisgarh","Raipur","2127.3","775.9","23.2","133.5","46.4","146.4","33.8","32.0","934.9","1234.6","132.06"
"3","1985","14","Chhattisgarh","Raipur","2127.3","777.7","21.9","133.9","44.6","146.1","34.0","29.9","939.1","1264.1","134.61"
"3","1986","14","Chhattisgarh","Raipur","2127.3","777.6","22.2","133.7","45.2","146.1","35.0","32.8","934.6","1200.6","128.46"
"3","1987","14","Chhattisgarh","Raipur","2127.3","778.0","21.7","133.9","45.6","145.1","37.5","31.2","934.1","1207.2","129.24"
"3","1988","14","Chhattisgarh","Raipur","2127.3","778.0","21.7","133.9","45.6","145.1","37.5","31.2","925.0","1117.8","120.84"
"3","1989","14","Chhattisgarh","Raipur","2127.3","777.5","21.3","135.4","46.8","144.7","37.4","30.6","933.5","1136.2","121.71"
"3","1990","14","Chhattisgarh","Raipur","1521.62","171.75","18.35","131.26","43.19","138.87","33.58","23.84","932.3","1174.7","126.0"
"3","1991","14","Chhattisgarh","Raipur","2253.1","902.8","17.8","131.0","42.3","140.3","32.9","23.2","934.7","1166.9","124.84"
"3","1992","14","Chhattisgarh","Raipur","2253.1","901.4","17.7","132.9","41.4","139.8","31.1","23.2","936.4","1170.7","125.02"
"3","1993","14","Chhattisgarh","Raipur","1522.24","170.23","18.31","135.48","40.5","137.97","30.4","18.8","942.4","1204.9","127.85"
"3","1994","14","Chhattisgarh","Raipur","1528.68","170.92","15.42","138.6","37.8","142.54","29.18","20.23","945.85","1222.58","129.26"
"3","1995","14","Chhattisgarh","Raipur","2242.26","163.24","13.65","141.31","36.44","137.42","29.03","19.19","948.12","1227.38","129.45"
"3","1996","14","Chhattisgarh","Raipur","1515.21","155.78","13.53","143.08","37.89","141.77","29.46","20.21","945.42","1184.0","125.24"
"3","1997","14","Chhattisgarh","Raipur","1515.36","155.04","13.62","144.41","37.09","140.74","28.92","18.26","949.18","1200.9","126.52"
"3","1998","14","Chhattisgarh","Raipur","2246.89","886.31","15.98","146.41","38.91","142.26","31.35","21.74","949.86","1132.71","119.25"
"3","1999","14","Chhattisgarh","Raipur","2246.93","886.1","16.19","148.34","39.23","139.71","31.07","19.48","952.61","1176.03","123.45"
"3","2000","14","Chhattisgarh","Raipur","2247.13","886.25","16.02","151.31","39.94","138.16","31.33","33.62","936.45","1044.84","111.57"
"3","2001","14","Chhattisgarh","Raipur","2196.75","835.52","15.91","152.49","39.93","137.41","30.86","21.25","949.22","1129.93","119.04"
"3","2002","14","Chhattisgarh","Raipur","2247.06","886.17","15.91","151.92","41.26","137.16","31.02","23.21","946.24","1095.77","115.8"
"3","2003","14","Chhattisgarh","Raipur","2247.12","886.34","15.87","152.77","41.34","137.56","31.57","20.06","947.37","1179.44","124.5"
"3","2004","14","Chhattisgarh","Raipur","2247.12","886.16","16.13","152.72","40.85","137.54","31.52","19.51","948.65","1173.2","123.67"
"3","2005","14","Chhattisgarh","Raipur","2247.12","886.04","16.06","154.46","42.59","136.49","32.34","19.08","945.91","1181.94","124.95"
"3","2006","14","Chhattisgarh","Raipur","2247.12","886.2","16.01","155.36","41.54","137.16","30.28","18.58","945.86","1191.47","125.97"
"3","2007","14","Chhattisgarh","Raipur","2247.12","884.91","15.84","155.52","40.48","138.35","32.94","18.89","946.02","1206.64","127.55"
"3","2008","14","Chhattisgarh","Raipur","2247.12","839.71","16.08","156.89","41.13","138.02","33.2","21.97","940.77","1175.23","124.92"
"3","2009","14","Chhattisgarh","Raipur","2247.12","884.22","15.85","157.71","41.27","138.49","35.64","23.65","936.16","1152.93","123.16"
"3","2010","14","Chhattisgarh","Raipur","2247.12","884.84","15.82","158.24","42.79","138.48","18.1","36.0","938.71","1179.8","125.68"
"3","2011","14","Chhattisgarh","Raipur","2249.12","886.9","18.12","162.01","44.46","139.66","38.86","19.32","939.63","1160.96","123.56"
"3","2012","14","Chhattisgarh","Raipur","2249.12","887.04","17.48","164.67","47.47","139.18","37.77","18.47","936.8","1184.23","126.41"
"3","2013","14","Chhattisgarh","Raipur","1534.28","157.44","17.83","166.31","47.64","143.16","38.19","16.63","946.79","1191.32","125.83"
"3","2014","14","Chhattisgarh","Raipur","1537.77","154.56","17.84","168.21","46.65","144.12","35.69","16.7","953.71","1220.67","127.99"
"3","2015","14","Chhattisgarh","Raipur","1538.31","156.16","17.85","167.64","48.86","146.5","35.79","17.6","947.72","1161.84","122.59"
"3","2016","14","Chhattisgarh","Raipur","2249.12","869.86","17.88","169.21","48.83","145.57","37.57","19.14","940.87","1176.4","125.03"
"3","2017","14","Chhattisgarh","Raipur","2249.12","867.32","18.86","170.51","48.12","144.87","35.98","23.48","939.7","1119.83","119.17"
"3","2018","14","Chhattisgarh","Raipur","2249.12","864.77","19.49","169.63","48.78","144.17","35.59","18.88","947.61","1145.17","120.85"
"3","2019","14","Chhattisgarh","Raipur","2249.12","864.59","17.98","171.72","49.57","145.89","34.35","30.06","934.81","1136.15","121.54"
"3","2020","14","Chhattisgarh","Raipur","2249.12","872.33","17.31","172.3","47.18","145.32","33.91","27.78","932.87","1131.73","121.32"
"4","1966","14","Chhattisgarh","Bilaspur","2016.8","845.2","45.1","99.4","28.7","130.3","34.1","33.2","799.8","931.4","116.45"
"4","1967","14","Chhattisgarh","Bilaspur","2022.6","849.7","45.7","99.0","25.1","134.9","32.4","31.7","803.8","977.8","121.65"
"4","1968","14","Chhattisgarh","Bilaspur","1972.3","799.8","48.5","96.8","24.8","135.0","28.0","30.0","809.2","969.5","119.81"
"4","1969","14","Chhattisgarh","Bilaspur","1972.3","799.2","48.4","85.7","36.0","135.0","29.0","32.0","807.0","961.0","119.08"
"4","1970","14","Chhattisgarh","Bilaspur","1972.3","799.2","48.5","86.1","36.0","134.3","30.0","30.0","809.0","1010.0","124.85"
"4","1971","14","Chhattisgarh","Bilaspur","1972.0","795.3","48.0","86.0","35.0","134.0","31.0","27.0","812.0","1028.0","126.6"
"4","1972","14","Chhattisgarh","Bilaspur","1972.0","797.0","49.0","84.0","38.0","134.0","31.0","26.0","813.0","1034.0","127.18"
"4","1973","14","Chhattisgarh","Bilaspur","1971.0","798.0","48.0","86.0","33.0","135.4","29.0","24.0","818.0","1055.0","128.97"
"4","1974","14","Chhattisgarh","Bilaspur","1971.0","798.0","49.0","86.0","34.0","134.2","29.0","30.0","813.0","996.0","122.51"
"4","1975","14","Chhattisgarh","Bilaspur","1972.3","790.0","49.0","95.0","33.0","133.0","28.0","28.0","816.2","1038.4","127.22"
"4","1976","14","Chhattisgarh","Bilaspur","1972.0","790.0","48.0","95.0","40.0","126.0","32.0","30.0","811.0","990.0","122.07"
"4","1977","14","Chhattisgarh","Bilaspur","1966.0","778.0","48.0","93.0","34.0","128.0","30.0","35.0","819.2","1038.0","126.71"
"4","1978","14","Chhattisgarh","Bilaspur","1965.8","775.9","48.5","93.8","33.4","128.5","30.5","33.4","822.0","1045.0","127.13"
"4","1979","14","Chhattisgarh","Bilaspur","1965.8","776.4","48.5","93.6","35.4","128.5","33.6","39.9","810.0","886.4","109.43"
"4","1980","14","Chhattisgarh","Bilaspur","1965.9","774.9","47.9","95.5","34.3","129.0","35.2","34.8","814.3","1010.0","124.03"
"4","1981","14","Chhattisgarh","Bilaspur","1965.8","776.1","47.9","96.3","34.3","126.8","35.0","32.4","815.4","1020.9","125.2"
"4","1982","14","Chhattisgarh","Bilaspur","1965.8","775.8","47.5","96.7","35.1","129.0","32.7","28.2","820.8","991.4","120.78"
"4","1983","14","Chhattisgarh","Bilaspur","1965.8","775.5","47.9","97.2","34.8","128.9","34.6","28.4","818.7","1055.2","128.89"
"4","1984","14","Chhattisgarh","Bilaspur","1965.8","774.2","46.8","96.0","38.1","128.0","30.9","29.2","822.8","1005.4","122.19"
"4","1985","14","Chhattisgarh","Bilaspur","1965.8","774.9","46.7","97.6","35.7","126.3","29.8","25.5","829.3","1068.6","128.86"
"4","1986","14","Chhattisgarh","Bilaspur","1965.8","773.5","46.7","96.0","36.0","129.6","29.7","26.6","827.7","1008.6","121.86"
"4","1987","14","Chhattisgarh","Bilaspur","1965.8","770.5","46.8","97.3","36.6","130.4","30.5","28.0","825.7","1037.2","125.61"
"4","1988","14","Chhattisgarh","Bilaspur","1965.8","770.5","46.8","97.3","36.6","130.4","30.5","28.0","825.4","1040.6","126.07"
"4","1989","14","Chhattisgarh","Bilaspur","1965.8","770.9","46.5","102.3","35.2","129.4","28.3","28.9","824.3","1026.7","124.55"
"4","1990","14","Chhattisgarh","Bilaspur","1516.49","321.47","43.15","98.68","32.72","126.38","24.69","21.51","824.91","1071.11","129.85"
"4","1991","14","Chhattisgarh","Bilaspur","1962.71","767.51","43.01","102.41","31.21","126.31","24.21","22.41","822.61","1042.21","126.7"
"4","1992","14","Chhattisgarh","Bilaspur","1962.71","765.11","42.91","105.11","31.41","125.91","25.61","21.11","822.41","1023.01","124.39"
"4","1993","14","Chhattisgarh","Bilaspur","1516.94","319.1","42.98","105.63","31.21","126.3","23.91","17.91","826.91","1066.21","128.94"
"4","1994","14","Chhattisgarh","Bilaspur","1516.94","318.45","42.9","106.04","31.98","126.03","24.6","19.42","824.49","1082.44","131.29"
"4","1995","14","Chhattisgarh","Bilaspur","1962.73","318.23","42.94","105.75","32.45","125.96","24.53","17.75","826.31","1022.71","123.77"
"4","1996","14","Chhattisgarh","Bilaspur","1516.94","318.21","42.94","105.79","32.06","126.63","25.06","18.68","824.55","1068.71","129.61"
"4","1997","14","Chhattisgarh","Bilaspur","1516.94","318.51","42.88","105.89","31.97","127.11","25.82","19.88","821.85","1013.64","123.34"
"4","1998","14","Chhattisgarh","Bilaspur","1994.29","796.74","50.82","101.58","33.83","130.58","28.0","24.91","820.61","1005.58","122.54"
"4","1999","14","Chhattisgarh","Bilaspur","1994.29","796.06","43.79","109.31","33.1","131.14","28.34","22.51","823.0","1034.56","125.7"
"4","2000","14","Chhattisgarh","Bilaspur","2145.06","947.57","45.09","106.69","35.91","130.12","30.24","33.13","809.29","935.85","115.64"
"4","2001","14","Chhattisgarh","Bilaspur","2145.06","947.25","44.58","108.27","35.17","129.65","29.09","25.47","818.53","975.1","119.13"
"4","2002","14","Chhattisgarh","Bilaspur","2146.07","948.31","45.05","108.97","35.67","130.66","30.14","30.02","810.22","957.32","118.16"
"4","2003","14","Chhattisgarh","Bilaspur","2146.07","948.5","45.28","108.35","36.27","130.18","29.49","25.19","815.75","998.87","122.45"
"4","2004","14","Chhattisgarh","Bilaspur","2146.07","948.45","46.86","107.41","36.97","129.5","29.6","26.11","814.16","995.56","122.28"
"4","2005","14","Chhattisgarh","Bilaspur","2146.07","948.78","45.25","107.76","39.22","129.85","30.29","25.84","812.02","999.62","123.1"
"4","2006","14","Chhattisgarh","Bilaspur","2146.07","947.54","45.49","108.95","38.96","131.29","30.12","19.98","812.12","1015.08","124.99"
