"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","TOTAL AREA (1000 ha)"
"1","1990","14","Chhattisgarh","Durg","236.6","21.1","0.0","0.0","0.0","0.0","257.7"
"1","1991","14","Chhattisgarh","Durg","240.0","9.1","0.0","0.0","0.0","0.0","249.1"
"1","1992","14","Chhattisgarh","Durg","242.0","11.8","0.0","0.0","0.0","0.0","253.8"
"1","1993","14","Chhattisgarh","Durg","245.0","13.2","0.0","0.0","0.0","0.0","258.2"
"1","1994","14","Chhattisgarh","Durg","249.0","17.3","0.0","0.0","0.0","0.0","266.3"
"1","1995","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","1996","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","1997","14","Chhattisgarh","Durg","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","1999","14","Chhattisgarh","Durg","335.0","0.0","0.0","0.0","22.17","0.0","357.17"
"1","2008","14","Chhattisgarh","Durg","0.0","0.0","0.0","-1.0","0.0","-1.0","0.0"
"1","2009","14","Chhattisgarh","Durg","0.0","0.0","0.0","-1.0","0.0","-1.0","0.0"
"2","1990","14","Chhattisgarh","Bastar","185.8","2.7","0.0","0.0","0.0","0.0","188.5"
"2","1991","14","Chhattisgarh","Bastar","193.3","0.0","0.0","0.0","5.7","0.0","199.0"
"2","1992","14","Chhattisgarh","Bastar","212.0","0.0","0.0","0.0","8.4","0.0","220.4"
"2","1993","14","Chhattisgarh","Bastar","269.7","15.7","0.0","0.0","9.8","0.0","295.2"
"2","1994","14","Chhattisgarh","Bastar","304.2","15.7","1.1","0.0","8.9","0.0","329.9"
"2","1995","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","1996","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","1997","14","Chhattisgarh","Bastar","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2008","14","Chhattisgarh","Bastar","0.0","0.0","0.0","-1.0","0.0","-1.0","0.0"
"2","2009","14","Chhattisgarh","Bastar","0.0","0.0","0.0","-1.0","0.0","-1.0","0.0"
"3","1990","14","Chhattisgarh","Raipur","588.2","14.8","0.0","0.0","0.0","0.0","603.0"
"3","1991","14","Chhattisgarh","Raipur","601.3","16.3","0.0","0.0","0.0","0.0","617.6"
"3","1992","14","Chhattisgarh","Raipur","592.4","15.8","0.0","0.0","0.0","0.0","608.2"
"3","1993","14","Chhattisgarh","Raipur","582.6","17.8","0.0","0.0","0.0","0.0","600.4"
"3","1994","14","Chhattisgarh","Raipur","573.4","14.8","0.0","0.0","0.0","0.0","588.2"
"3","1995","14","Chhattisgarh","Raipur","116.8","0.43","0.0","0.0","0.0","0.0","116.79"
"3","1996","14","Chhattisgarh","Raipur","114.35","0.36","0.0","0.0","0.0","0.0","114.34"
"3","1997","14","Chhattisgarh","Raipur","120.62","0.45","0.0","0.0","0.0","0.0","120.61"
"3","1999","14","Chhattisgarh","Raipur","393.5","0.0","0.0","0.0","8.52","0.0","402.02"
