"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"1","1990","14","Chhattisgarh","Durg","11776.0","60.31","21.68","15.54","5834.0","29.88","10.74","7.7","1915.0","9.81","3.53","2.53","19525.0","35.95","25.76"
"1","1991","14","Chhattisgarh","Durg","12401.0","48.07","22.74","16.35","9870.0","38.26","18.1","13.01","3528.0","13.67","6.47","4.65","25799.0","47.31","34.02"
"1","1992","14","Chhattisgarh","Durg","12401.0","48.07","22.68","16.31","9870.0","38.26","18.05","12.98","3528.0","13.67","6.45","4.64","25799.0","47.17","33.92"
"1","1993","14","Chhattisgarh","Durg","17443.0","54.3","31.73","21.91","10561.0","32.88","19.21","13.26","4119.0","12.82","7.49","5.17","32123.0","58.43","40.34"
"1","1994","14","Chhattisgarh","Durg","18021.0","62.66","32.7","22.02","8502.0","29.56","15.43","10.39","2236.0","7.77","4.06","2.73","28759.0","52.19","35.14"
"1","1995","14","Chhattisgarh","Durg","18021.0","62.66","32.59","22.04","8502.0","29.56","15.38","10.4","2236.0","7.77","4.04","2.74","28759.0","52.01","35.18"
"1","1996","14","Chhattisgarh","Durg","18021.0","62.66","32.38","22.41","8502.0","29.56","15.28","10.57","2236.0","7.77","4.02","2.78","28759.0","51.68","35.77"
"1","1997","14","Chhattisgarh","Durg","24767.0","64.85","44.6","31.21","9604.0","25.15","17.3","12.1","3820.0","10.0","6.88","4.81","38191.0","68.78","48.12"
"1","1998","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","1999","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","2000","14","Chhattisgarh","Durg","22603.0","61.36","41.97","35.63","10193.0","27.67","18.93","16.07","4042.0","10.97","7.51","6.37","36838.0","68.4","58.07"
"1","2001","14","Chhattisgarh","Durg","24562.0","63.75","44.97","33.16","10601.0","27.52","19.41","14.31","3364.0","8.73","6.16","4.54","38527.0","70.54","52.01"
"1","2002","14","Chhattisgarh","Durg","19020.0","58.01","34.92","27.41","9516.0","29.02","17.47","13.71","4250.0","12.96","7.8","6.12","32786.0","60.19","47.25"
"1","2003","14","Chhattisgarh","Durg","20759.0","62.04","37.81","27.13","8902.0","26.61","16.21","11.63","3797.0","11.35","6.92","4.96","33458.0","60.94","43.73"
"1","2004","14","Chhattisgarh","Durg","29974.0","60.14","54.4","37.43","14014.0","28.12","25.44","17.5","5856.0","11.75","10.63","7.31","49844.0","90.47","62.25"
"1","2005","14","Chhattisgarh","Durg","30819.0","59.36","55.78","38.05","14120.0","27.2","25.56","17.44","6977.0","13.44","12.63","8.62","51916.0","93.97","64.1"
"1","2006","14","Chhattisgarh","Durg","41477.0","61.05","75.1","51.15","17901.0","26.35","32.41","22.07","8558.0","12.6","15.5","10.55","67936.0","123.01","83.77"
"1","2007","14","Chhattisgarh","Durg","38837.0","58.61","70.51","47.41","18411.0","27.79","33.42","22.47","9014.0","13.6","16.36","11.0","66262.0","120.3","80.89"
"1","2008","14","Chhattisgarh","Durg","35124.0","49.7","64.06","45.34","22630.0","32.02","41.27","29.21","12920.0","18.28","23.56","16.68","70674.0","128.89","91.24"
"1","2009","14","Chhattisgarh","Durg","48950.0","56.36","89.69","64.9","24997.0","28.78","45.8","33.14","12909.0","14.86","23.65","17.12","86856.0","159.15","115.16"
"1","2010","14","Chhattisgarh","Durg","51017.0","54.52","93.27","64.89","28417.0","30.37","51.95","36.14","14138.0","15.11","25.85","17.98","93572.0","171.08","119.01"
"1","2011","14","Chhattisgarh","Durg","47651.0","56.22","324.49","247.91","28418.0","33.53","193.52","147.85","8686.0","10.25","59.15","45.19","84755.0","577.16","440.94"
"1","2012","14","Chhattisgarh","Durg","17640.0","55.45","119.98","89.77","10817.0","34.0","73.57","55.05","3355.0","10.55","22.82","17.07","31812.0","216.37","161.89"
"1","2013","14","Chhattisgarh","Durg","18639.0","63.5","126.82","96.42","7847.0","26.73","53.39","40.59","2867.0","9.77","19.51","14.83","29353.0","199.71","151.84"
