"Dist Code","Year","State Code","State Name","Dist Name","CANALS AREA (1000 ha)","TANKS AREA (1000 ha)","TUBE WELLS AREA (1000 ha)","OTHER WELLS AREA (1000 ha)","TOTAL WELLS AREA (1000 ha)","OTHER SOURCES AREA (1000 ha)","NET AREA (1000 ha)","GROSS AREA (1000 ha)"
"1","1966","14","Chhattisgarh","Durg","52.6","12.4","0.0","2.63","2.63","9.3","77.0","77.0"
"1","1967","14","Chhattisgarh","Durg","90.2","5.7","0.0","3.07","3.07","5.8","104.8","104.8"
"1","1968","14","Chhattisgarh","Durg","106.2","9.7","0.0","2.16","2.16","9.4","127.5","129.1"
"1","1969","14","Chhattisgarh","Durg","111.0","10.1","0.0","2.79","2.79","11.8","135.2","135.2"
"1","1970","14","Chhattisgarh","Durg","113.1","9.3","0.0","3.03","3.03","10.3","134.2","135.8"
"1","1971","14","Chhattisgarh","Durg","119.3","9.3","0.0","3.51","3.51","14.3","141.4","146.5"
"1","1972","14","Chhattisgarh","Durg","107.9","9.8","0.0","3.96","3.96","17.0","138.2","138.9"
"1","1973","14","Chhattisgarh","Durg","103.7","9.5","0.0","3.95","3.95","20.7","138.8","153.2"
"1","1974","14","Chhattisgarh","Durg","66.0","9.5","0.14","6.11","6.25","14.5","96.5","96.5"
"1","1975","14","Chhattisgarh","Durg","97.0","7.9","0.1","5.55","5.65","12.9","122.8","134.7"
"1","1976","14","Chhattisgarh","Durg","113.3","15.8","0.69","7.32","8.01","10.7","147.0","152.3"
"1","1977","14","Chhattisgarh","Durg","117.2","10.9","0.42","7.97","8.39","32.4","168.2","174.8"
"1","1978","14","Chhattisgarh","Durg","153.2","13.2","0.55","5.8","6.35","12.6","185.3","190.3"
"1","1979","14","Chhattisgarh","Durg","155.2","18.5","1.88","8.73","10.61","13.4","196.9","204.9"
"1","1980","14","Chhattisgarh","Durg","140.5","13.7","0.55","7.4","7.95","13.9","176.0","196.5"
"1","1981","14","Chhattisgarh","Durg","150.8","12.8","0.71","7.44","8.15","17.4","188.4","199.8"
"1","1982","14","Chhattisgarh","Durg","156.0","17.2","2.15","9.85","12.0","12.6","197.8","204.3"
"1","1983","14","Chhattisgarh","Durg","164.2","13.5","1.58","9.56","11.14","15.9","204.8","213.7"
"1","1984","14","Chhattisgarh","Durg","161.0","21.4","1.62","9.83","11.45","25.8","219.7","227.2"
"1","1985","14","Chhattisgarh","Durg","125.8","15.2","2.1","6.8","8.9","16.5","167.2","173.0"
"1","1986","14","Chhattisgarh","Durg","134.0","18.5","3.07","8.23","11.3","23.6","187.0","192.3"
"1","1987","14","Chhattisgarh","Durg","163.3","11.6","3.58","9.78","13.36","22.8","211.0","221.0"
"1","1988","14","Chhattisgarh","Durg","147.4","12.1","7.6","9.9","17.5","27.3","204.3","216.5"
"1","1989","14","Chhattisgarh","Durg","149.5","11.1","11.2","13.9","25.1","33.1","218.8","229.7"
"1","1990","14","Chhattisgarh","Durg","156.79","3.69","7.49","6.59","16.79","24.49","209.89","230.49"
"1","1991","14","Chhattisgarh","Durg","190.35","12.92","10.64","9.78","23.13","26.35","260.89","276.16"
"1","1992","14","Chhattisgarh","Durg","179.91","10.51","15.08","10.2","27.99","43.21","269.73","288.32"
"1","1993","14","Chhattisgarh","Durg","192.53","10.48","15.95","9.27","27.93","35.75","274.83","300.18"
"1","1994","14","Chhattisgarh","Durg","193.7","11.43","20.48","8.38","31.57","20.0","264.83","305.07"
"1","1995","14","Chhattisgarh","Durg","202.48","18.73","21.1","8.57","32.38","16.31","278.03","312.44"
"1","1996","14","Chhattisgarh","Durg","194.32","11.83","22.23","8.26","33.2","34.36","281.84","307.06"
"1","1997","14","Chhattisgarh","Durg","203.84","10.39","23.76","7.17","33.64","23.51","279.5","311.76"
"1","1998","14","Chhattisgarh","Durg","149.86","10.27","32.37","9.85","44.21","35.33","245.68","275.68"
"1","1999","14","Chhattisgarh","Durg","188.55","11.19","36.68","7.19","45.88","19.85","271.46","325.79"
"1","2000","14","Chhattisgarh","Durg","138.29","10.24","47.62","7.3","56.91","21.59","233.03","264.78"
"1","2001","14","Chhattisgarh","Durg","202.12","10.03","52.73","5.41","60.12","23.72","302.02","339.55"
"1","2002","14","Chhattisgarh","Durg","162.84","6.61","58.08","6.11","66.19","23.36","264.99","300.77"
"1","2003","14","Chhattisgarh","Durg","173.33","5.95","54.24","5.36","61.6","21.08","267.95","311.63"
"1","2004","14","Chhattisgarh","Durg","187.88","13.71","74.83","4.55","81.37","18.97","307.95","366.27"
"1","2005","14","Chhattisgarh","Durg","193.78","9.05","82.2","3.92","88.11","19.18","316.12","382.85"
"1","2006","14","Chhattisgarh","Durg","192.2","8.05","96.69","3.71","102.39","18.89","327.54","408.76"
"1","2007","14","Chhattisgarh","Durg","202.76","9.61","99.57","2.92","104.48","20.16","343.0","437.49"
"1","2008","14","Chhattisgarh","Durg","179.87","6.71","116.15","2.53","120.68","19.35","332.59","435.93"
"1","2009","14","Chhattisgarh","Durg","158.96","5.65","129.02","2.01","133.04","13.11","316.75","410.81"
"1","2010","14","Chhattisgarh","Durg","185.09","5.31","129.68","2.25","133.93","12.32","342.65","460.9"
"1","2011","14","Chhattisgarh","Durg","192.08","0.0","143.04","3.58","146.62","7.38","346.08","481.57"
"1","2012","14","Chhattisgarh","Durg","195.14","9.86","153.83","3.3","157.15","10.46","372.6","506.04"
"1","2013","14","Chhattisgarh","Durg","197.4","10.73","161.84","3.32","165.15","8.12","381.39","535.27"
"1","2014","14","Chhattisgarh","Durg","186.58","8.98","196.67","2.54","199.21","7.03","401.8","548.91"
"1","2015","14","Chhattisgarh","Durg","112.18","3.56","103.18","3.7","107.9","10.97","237.61","320.33"
"1","2016","14","Chhattisgarh","Durg","186.46","9.62","204.22","3.46","207.69","10.71","415.18","600.62"
"1","2017","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"1","2018","14","Chhattisgarh","Durg","179.57","6.91","264.65","1.64","266.29","12.57","465.34","700.66"
"1","2019","14","Chhattisgarh","Durg","184.12","7.24","258.01","1.88","259.89","7.73","458.97","701.98"
"1","2020","14","Chhattisgarh","Durg","203.84","5.98","271.5","1.51","273.01","8.6","491.43","789.21"
"2","1966","14","Chhattisgarh","Bastar","0.0","7.9","0.0","0.86","0.86","3.6","12.4","12.4"
